actor_id,Actor
0,None
1,Bryan Cranston
2,Aaron Paul
3,Anna Gunn
4,Betsy Brandt
5,Emilia Clarke
6,Peter Dinklage
7,Kit Harington
8,Lena Headey
9,Jessie Buckley
10,Jared Harris
11,Stellan Skarsgård
12,Adam Nagaitis
13,Scott Grimes
14,Damian Lewis
15,Ron Livingston
16,Shane Taylor
17,Benedict Cumberbatch
18,Martin Freeman
19,Una Stubbs
20,Rupert Graves
21,Dominic West
22,Lance Reddick
23,Sonja Sohn
24,Wendell Pierce
25,Dee Bradley Baker
26,Zach Tyler Eisen
27,Mae Whitman
28,Jack De Sena
29,Jennifer Aniston
30,Courteney Cox
31,Lisa Kudrow
32,Matt LeBlanc
33,James Gandolfini
34,Lorraine Bracco
35,Edie Falco
36,Michael Imperioli
37,Justin Roiland
38,Chris Parnell
39,Spencer Grammer
40,Sarah Chalke
41,Steve Carell
42,Jenna Fischer
43,John Krasinski
44,Rainn Wilson
45,Josh Grelle
46,Bryce Papenbrook
47,Yûki Kaji
48,Yui Ishikawa
49,Millie Bobby Brown
50,Finn Wolfhard
51,Winona Ryder
52,David Harbour
53,Vince Vaughn
54,Colin Farrell
55,Rachel McAdams
56,Taylor Kitsch
57,Bob Odenkirk
58,Rhea Seehorn
59,Jonathan Banks
60,Patrick Fabian
61,Mamoru Miyano
62,Brad Swaile
63,Vincent Tong
64,Ryô Naitô
65,Cillian Murphy
66,Paul Anderson
67,Sophie Rundle
68,Helen McCrory
69,Daniel Lapaine
70,Hannah John-Kamen
71,Michaela Coel
72,Beatrice Robertson-Jones
73,Michael C. Hall
74,Jennifer Carpenter
75,David Zayas
76,James Remar
77,Billy Bob Thornton
78,Allison Tolman
79,Colin Hanks
80,Nathan Fillion
81,Gina Torres
82,Alan Tudyk
83,Morena Baccarin
84,Jerry Seinfeld
85,Julia Louis-Dreyfus
86,Michael Richards
87,Jason Alexander
88,Pedro Pascal
89,Wagner Moura
90,Boyd Holbrook
91,Alberto Ammann
92,Kent Williams
93,Iemasa Kayumi
94,Matthew Leonhart
95,Vic Mignogna
96,Karl Urban
97,Jack Quaid
98,Antony Starr
99,Erin Moriarty
100,Chris Bartlett
101,Katee Sackhoff
102,Carl Weathers
103,Hailee Steinfeld
104,Kevin Alejandro
105,Jason Spisak
106,Terri Douglas
107,Bella Ramsey
108,Anna Torv
109,Lamar Johnson
110,Kevin Spacey
111,Michel Gill
112,Robin Wright
113,Kate Mara
114,Hugh Laurie
115,Omar Epps
116,Robert Sean Leonard
117,Jesse Spencer
118,Dan Castellaneta
119,Nancy Cartwright
120,Harry Shearer
121,Julie Kavner
122,Louis Hofmann
123,Karoline Eichhorn
124,Lisa Vicari
125,Maja Schöne
126,Trey Parker
127,Matt Stone
128,Isaac Hayes
129,Mona Marshall
130,Anya Taylor-Joy
131,Chloe Pirrie
132,Bill Camp
133,Marcin Dorocinski
134,Jason Sudeikis
135,Brett Goldstein
136,Hannah Waddingham
137,Brendan Hunt
138,Charlie Cox
139,"""Vincent DOnofrio"""
140,Deborah Ann Woll
141,Elden Henson
142,Jason Bateman
143,Michael Cera
144,Portia de Rossi
145,Will Arnett
146,Charlie Day
147,Rob McElhenney
148,Kaitlin Olson
149,Glenn Howerton
150,Katheryn Winnick
151,Gustaf Skarsgård
152,Alexander Ludwig
153,Georgia Hirst
154,Evan Rachel Wood
155,Jeffrey Wright
156,Ed Harris
157,Thandiwe Newton
158,Kyle MacLachlan
159,Michael Ontkean
160,Mädchen Amick
161,Dana Ashbrook
162,Rod Serling
163,Robert McCord
164,Jay Overholts
165,James Turley
166,Issei Futamata
167,Megumi Han
168,Cristina Valenzuela
169,Mariya Ise
170,"""Ed ONeill"""
171,Sofía Vergara
172,Julie Bowen
173,Ty Burrell
174,Jon Hamm
175,Elisabeth Moss
176,Vincent Kartheiser
177,January Jones
178,Kevin Conroy
179,Loren Lester
180,Efrem Zimbalist Jr.
181,Bob Hastings
182,Nicholas Braun
183,Brian Cox
184,Kieran Culkin
185,Peter Friedman
186,Mayumi Tanaka
187,Laurent Vernin
188,Tony Beck
189,Akemi Okamura
190,Charlie Hunnam
191,Katey Sagal
192,Mark Boone Junior
193,Kim Coates
194,Jonathan Groff
195,Holt McCallany
196,Hannah Gross
197,Amy Sedaris
198,Alison Brie
199,Rami Malek
200,Christian Slater
201,Carly Chaikin
202,Martin Wallström
203,Asante Blackk
204,Caleel Harris
205,Ethan Herisse
206,Marquis Rodriguez
207,Kôichi Yamadera
208,Unshô Ishizuka
209,Megumi Hayashibara
210,Steve Blum
211,Hugh Bonneville
212,Phyllis Logan
213,Elizabeth McGovern
214,Brendan Coyle
215,Josh Radnor
216,Jason Segel
217,Cobie Smulders
218,Neil Patrick Harris
219,Amy Poehler
220,"""Jim OHeir"""
221,Nick Offerman
222,Chris Pratt
223,Jason Ritter
224,Alex Hirsch
225,Kristen Schaal
226,Linda Cardellini
227,Michiel Huisman
228,Carla Gugino
229,Henry Thomas
230,Elizabeth Reaser
231,John Francis Daley
232,James Franco
233,Samm Levine
234,Emmy Rossum
235,William H. Macy
236,Ethan Cutkosky
237,Jeremy Allen White
238,Jared Padalecki
239,Jensen Ackles
240,Jim Beaver
241,Misha Collins
242,Laura Linney
243,Sofia Hublitz
244,Skylar Gaertner
245,Johnny Galecki
246,Jim Parsons
247,Kaley Cuoco
248,Simon Helberg
249,Doc Harris
250,Christopher Sabat
251,Scott McNeil
252,Sean Schemmel
253,Kevin McKidd
254,Ray Stevenson
255,Polly Walker
256,Kerry Condon
257,David Duchovny
258,Gillian Anderson
259,Mitch Pileggi
260,William B. Davis
261,Gabriel Macht
262,Patrick J. Adams
263,Meghan Markle
264,Sarah Rafferty
265,Larry David
266,Cheryl Hines
267,Jeff Garlin
268,Susie Essman
269,Kevin Costner
270,Luke Grimes
271,Kelly Reilly
272,Wes Bentley
273,Jodie Whittaker
274,Peter Capaldi
275,Pearl Mackie
276,Matt Smith
277,Claire Foy
278,Olivia Colman
279,Imelda Staunton
280,Jorge Garcia
281,Josh Holloway
282,Yunjin Kim
283,Evangeline Lilly
284,Phoebe Waller-Bridge
285,Sian Clifford
286,Jenny Rainsford
287,Edward James Olmos
288,Mary McDonnell
289,Jamie Bamber
290,James Callis
291,Makoto Furukawa
292,Kaito Ishikawa
293,Max Mittelman
294,Zach Aguilar
295,Dominic Purcell
296,Wentworth Miller
297,Amaury Nolasco
298,Robert Knepper
299,Andrew Lincoln
300,Norman Reedus
301,Melissa McBride
302,Lauren Cohan
303,Joel McHale
304,Danny Pudi
305,Donald Glover
306,Chevy Chase
307,Steven Yeun
308,J.K. Simmons
309,Sandra Oh
310,Zazie Beetz
311,Adam Scott
312,Zach Cherry
313,Britt Lower
314,Tramell Tillman
315,Milo Ventimiglia
316,Mandy Moore
317,Sterling K. Brown
318,Chrissy Metz
319,Hugh Dancy
320,Mads Mikkelsen
321,Caroline Dhavernas
322,Laurence Fishburne
323,Steve Buscemi
324,Kelly Macdonald
325,Michael Shannon
326,Shea Whigham
327,Andy Whitfield
328,Lucy Lawless
329,Manu Bennett
330,Daniel Feuerriegel
331,Jon Bernthal
332,Amber Rose Revah
333,Ben Barnes
334,Jason R. Moore
335,Andy Samberg
336,Stephanie Beatriz
337,Terry Crews
338,Melissa Fumero
339,Billy West
340,John DiMaggio
341,Tress MacNeille
342,Peter Krause
343,Frances Conroy
344,Lauren Ambrose
345,Alexandre Crepet
346,Junko Takeuchi
347,Maile Flanagan
348,Kate Higgins
349,Martin Sheen
350,Rob Lowe
351,Allison Janney
352,John Spencer
353,Patrick Stewart
354,Brent Spiner
355,Jonathan Frakes
356,LeVar Burton
357,John Cleese
358,Prunella Scales
359,Andrew Sachs
360,Connie Booth
361,Rachel Brosnahan
362,Alex Borstein
363,Michael Zegen
364,Marin Hinkle
365,H. Jon Benjamin
366,Judy Greer
367,Amber Nash
368,Reese Witherspoon
369,Nicole Kidman
370,Shailene Woodley
371,Natsuki Hanae
372,Yoshitsugu Matsuoka
373,Abby Trott
374,David Jason
375,Nicholas Lyndhurst
376,Roger Lloyd Pack
377,Buster Merryfield
378,Úrsula Corberó
379,Álvaro Morte
380,Itziar Ituño
381,Pedro Alonso
382,Colin Firth
383,Jennifer Ehle
384,Susannah Harker
385,Julia Sawalha
386,Zach Braff
387,Donald Faison
388,John C. McGinley
389,Ralph Macchio
390,William Zabka
391,Courtney Henggeler
392,Xolo Maridueña
393,Claire Danes
394,Mandy Patinkin
395,Rupert Friend
396,Joshua Jackson
397,John Noble
398,Jasika Nicole
399,Yvonne Strahovski
400,Ann Dowd
401,O-T Fagbenle
402,Jim Caviezel
403,Taraji P. Henson
404,Kevin Chapman
405,Michael Emerson
406,Ernie Hudson
407,Lee Tergesen
408,Dean Winters
409,Kevin Connolly
410,Adrian Grenier
411,Kevin Dillon
412,Jerry Ferrara
413,Asa Butterfield
414,Ncuti Gatwa
415,Emma Mackey
416,Steven Strait
417,Dominique Tipper
418,Wes Chatham
419,Shohreh Aghdashloo
420,Sam Elliott
421,Tim McGraw
422,Faith Hill
423,Isabel May
424,"""Chris ODowd"""
425,Richard Ayoade
426,Katherine Parkinson
427,Matt Berry
428,Haluk Bilginer
429,Cansu Dere
430,Metin Akdülger
431,Sebnem Bozoklu
432,Jeff Daniels
433,Emily Mortimer
434,John Gallagher Jr.
435,Alison Pill
436,Thomas Middleditch
437,T.J. Miller
438,Josh Brener
439,Martin Starr
440,Henry Cavill
441,Freya Allan
442,Anya Chalotra
443,Mimi Ndiweni
444,Alexander Dreymon
445,Eliza Butterworth
446,Arnas Fedaravicius
447,Mark Rowley
448,Asami Imai
449,Kana Hanazawa
450,Ashly Burch
451,Timothy Olyphant
452,Ian McShane
453,Molly Parker
454,Brad Dourif
455,Seth MacFarlane
456,Seth Green
457,Mila Kunis
458,Kiefer Sutherland
459,Mary Lynn Rajskub
460,Carlos Bernard
461,Dennis Haysbert
462,Michael Chiklis
463,Catherine Dent
464,Walton Goggins
465,Michael Jace
466,John Hannah
467,Peter Mensah
468,Dustin Clare
469,Tom Hiddleston
470,Owen Wilson
471,Eugene Cordero
472,Gugu Mbatha-Raw
473,Nick Searcy
474,Joelle Carter
475,Jacob Pitts
476,Elijah Wood
477,Collin Dean
478,Melanie Lynskey
479,Christopher Lloyd
480,Fred Tatasciore
481,Scott Whyte
482,Nolan North
483,Noshir Dalal
484,Jeremy Shada
485,Tom Kenny
486,Hynden Walch
487,Eugene Levy
488,"""Catherine OHara"""
489,Dan Levy
490,Annie Murphy
491,Kate Winslet
492,Julianne Nicholson
493,Jean Smart
494,Angourie Rice
495,Caitríona Balfe
496,Sam Heughan
497,Sophie Skelton
498,Richard Rankin
499,Jun Fukuyama
500,Takahiro Sakurai
