Year,Actor/Actress,Role,Titles,Episode Submissions,Network,Category
2010,Jim Parsons,Sheldon Cooper,The Big Bang Theory,"""The Pants Alternative""",CBS,Comedy
2010,Alec Baldwin,Jack Donaghy,30 Rock,"""Don Geiss, America and Hope""",NBC,Comedy
2010,Steve Carell,Michael Scott,The Office,"""The Cover-Up""",NBC,Comedy
2010,Larry David,Larry David,Curb Your Enthusiasm,"""Seinfeld""",HBO,Comedy
2010,Matthew Morrison,Will Schuester,Glee,"""Mash-Up""",Fox,Comedy
2010,Tony Shalhoub,Adrian Monk,Monk,"""Mr. Monk and the End""",USA,Comedy
2011,Jim Parsons,Sheldon Cooper,The Big Bang Theory,"""The Agreement Dissection""",CBS,Comedy
2011,Alec Baldwin,Jack Donaghy,30 Rock,"""Respawn""",NBC,Comedy
2011,Steve Carell,Michael Scott,The Office,"""Goodbye, Michael""",NBC,Comedy
2011,Louis C.K.,Louie,Louie,"""Bully""",FX,Comedy
2011,Johnny Galecki,Leonard Hofstadter,The Big Bang Theory,"""The Benefactor Factor""",CBS,Comedy
2011,Matt LeBlanc,Matt LeBlanc,Episodes,"""Episode Seven""",Showtime,Comedy
2012,Jon Cryer,Alan Harper,Two and a Half Men,"""Frodo's Headshots""",CBS,Comedy
2012,Alec Baldwin,Jack Donaghy,30 Rock,"""Live from Studio 6H""",NBC,Comedy
2012,Louis C.K.,Louie,Louie,"""Duckling""",FX,Comedy
2012,Jim Parsons,Sheldon Cooper,The Big Bang Theory,"""The Werewolf Transformation""",CBS,Comedy
2012,Don Cheadle,Marty Kaan,House of Lies,"""The Gods of Dangerous Financial Instruments""",Showtime,Comedy
2012,Larry David,Larry David,Curb Your Enthusiasm,"""Palestinian Chicken""",HBO,Comedy
2013,Jim Parsons,Sheldon Cooper,The Big Bang Theory,"""The Habitation Configuration""",CBS,Comedy
2013,Alec Baldwin,Jack Donaghy,30 Rock,"""A Goon's Deed in a Weary World""",NBC,Comedy
2013,Jason Bateman,Michael Bluth,Arrested Development,"""Flight of the Phoenix""",Netflix,Comedy
2013,Louis C.K.,Louie,Louie,"""Daddy's Girlfriend, Part 1""",FX,Comedy
2013,Don Cheadle,Marty Kaan,House of Lies,"""Hostile Takeover""",Showtime,Comedy
2013,Matt LeBlanc,Matt LeBlanc,Episodes,"""Episode Two""",Showtime,Comedy
2014,Jim Parsons,Sheldon Cooper,The Big Bang Theory,"""The Relationship Diremption""",CBS,Comedy
2014,Louis C.K.,Louie,Louie,"""Model""",FX,Comedy
2014,Ricky Gervais,Derek Noakes,Derek,"""Episode 6""",Netflix,Comedy
2014,Matt LeBlanc,Matt LeBlanc,Episodes,"""Episode Six""",Showtime,Comedy
2014,Don Cheadle,Marty Kaan,House of Lies,"""Wreckage""",Showtime,Comedy
2014,William H. Macy,Frank Gallagher,Shameless,"""Lazarus""",Showtime,Comedy
2015,Jeffrey Tambor,Maura Pfefferman,Transparent,"""The Letting Go""",Amazon,Comedy
2015,Anthony Anderson,Andre Johnson,Black-ish,"""Sex, Lies, and Vasectomies""",ABC,Comedy
2015,Louis C.K.,Louie,Louie,"""Bobby's House""",FX,Comedy
2015,Don Cheadle,Marty Kaan,House of Lies,"""It's a Box Inside a Box Inside a Box, Dipshit""",Showtime,Comedy
2015,Will Forte,Phil Miller,The Last Man on Earth,"""Alive in Tucson""",Fox,Comedy
2015,Matt LeBlanc,Matt LeBlanc,Episodes,"""Episode Five""",Showtime,Comedy
2015,William H. Macy,Frank Gallagher,Shameless,"""A Night to Remem... Wait, What?""",Showtime,Comedy
2016,Jeffrey Tambor,Maura Pfefferman,Transparent,"""Man on the Land""",Amazon,Comedy
2016,Anthony Anderson,Andre Johnson,Black-ish,"""Hope""",ABC,Comedy
2016,Aziz Ansari,Dev Shah,Master of None,"""Parents""",Netflix,Comedy
2016,Will Forte,Phil Miller,The Last Man on Earth,"""30 Years of Science Down the Tubes""",Fox,Comedy
2016,William H. Macy,Frank Gallagher,Shameless,"""I Only Miss Her When I'm Breathing""",Showtime,Comedy
2016,Thomas Middleditch,Richard Hendricks,Silicon Valley,"""The Empty Chair""",HBO,Comedy
2017,Donald Glover,Earn Marks,Atlanta,"""The Big Bang""",FX,Comedy
2017,Anthony Anderson,Andre Johnson,Black-ish,"""Lemons""",ABC,Comedy
2017,Aziz Ansari,Dev Shah,Master of None,"""The Dinner Party""",Netflix,Comedy
2017,Zach Galifianakis,Chip and Dale Baskets,Baskets,"""Freaks""",FX,Comedy
2017,William H. Macy,Frank Gallagher,Shameless,"""You Sold Me the Laundromat, Remember?""",Showtime,Comedy
