Year,Actor/Actress,Role,Titles,Episode Submissions,Network,Category
2010,Eric Stonestreet,Cameron Tucker,Modern Family,"""Fizbo""",ABC,Comedy
2010,Ty Burrell,Phil Dunphy,Modern Family,"""Up All Night""",ABC,Comedy
2010,Chris Colfer,Kurt Hummel,Glee,"""Laryngitis""",Fox,Comedy
2010,Jon Cryer,Alan Harper,Two and a Half Men,"""Captain Terry's Spray-On Hair""",CBS,Comedy
2010,Jesse Tyler Ferguson,Mitchell Pritchett,Modern Family,"""Family Portrait""",ABC,Comedy
2010,Neil Patrick Harris,Barney Stinson,How I Met Your Mother,"""Girls Versus Suits""",CBS,Comedy
2011,Ty Burrell,Phil Dunphy,Modern Family,"""Good Cop Bad Dog""",ABC,Comedy
2011,Chris Colfer,Kurt Hummel,Glee,"""Grilled Cheesus""",Fox,Comedy
2011,Jon Cryer,Alan Harper,Two and a Half Men,"""The Immortal Mr. Billy Joel""",CBS,Comedy
2011,Jesse Tyler Ferguson,Mitchell Pritchett,Modern Family,"""Halloween""",ABC,Comedy
2011,Ed O'Neill,Jay Pritchett,Modern Family,"""The Kiss""",ABC,Comedy
2011,Eric Stonestreet,Cameron Tucker,Modern Family,"""Mother's Day""",ABC,Comedy
2012,Eric Stonestreet,Cameron Tucker,Modern Family,"""Treehouse""",ABC,Comedy
2012,Ty Burrell,Phil Dunphy,Modern Family,"""Lifetime Supply""",ABC,Comedy
2012,Jesse Tyler Ferguson,Mitchell Pritchett,Modern Family,"""Leap Day""",ABC,Comedy
2012,Max Greenfield,Schmidt,New Girl,"""Control""",Fox,Comedy
2012,Bill Hader,Various characters,Saturday Night Live,"""Host: Katy Perry""",NBC,Comedy
2012,Ed O'Neill,Jay Pritchett,Modern Family,"""Baby on Board""",ABC,Comedy
2013,Tony Hale,Gary Walsh,Veep,"""Running""",HBO,Comedy
2013,Ty Burrell,Phil Dunphy,Modern Family,"""Mistery Date""",ABC,Comedy
2013,Adam Driver,Adam Sackler,Girls,"""It's Back""",HBO,Comedy
2013,Jesse Tyler Ferguson,Mitchell Pritchett,Modern Family,"""The Wow Factor""",ABC,Comedy
2013,Bill Hader,Various characters,Saturday Night Live,"""Host: Seth MacFarlane""",NBC,Comedy
2013,Ed O'Neill,Jay Pritchett,Modern Family,"""Bringing Up Baby""",ABC,Comedy
2014,Ty Burrell,Phil Dunphy,Modern Family,"""Spring-a-Ding-Fling""",ABC,Comedy
