Year,Comedy,Drama,Lead Comedy Actor,Lead Comedy Actor(Title),Lead Drama Actor,Lead Drama Actor(Title),Lead Comedy Actress,Lead Comedy Actress(Titles),Lead Drama Actress,Lead Comedy Actress(Titles),Comedy (Network),Drama (Network)
2010,Modern Family ,Mad Men ,Jim Parsons,The Big Bang Theory,Bryan Cranston,Breaking Bad,Edie Falco,Nurse Jackie,Kyra Sedgwick,The Closer,ABC,AMC
2011,Modern Family ,Mad Men ,Jim Parsons,The Big Bang Theory,Kyle Chandler,Friday Night Lights,Melissa McCarthy,Mike & Molly,Julianna Margulies,The Good Wife,ABC,AMC
2012,Modern Family ,Homeland ,Jon Cryer,Two and a Half Men,Damian Lewis,Homeland,Julia Louis,Dreyfus Veep,Claire Danes,Homeland,ABC,Showtime
2013,Modern Family ,Breaking Bad ,Jim Parsons,The Big Bang Theory,Jeff Daniels,The Newsroom,Julia Louis,Dreyfus Veep,Claire Danes,Homeland,ABC,AMC
2014,Modern Family ,Breaking Bad ,Jim Parsons,The Big Bang Theory,Bryan Cranston,Breaking Bad,Julia Louis,Dreyfus Veep,Julianna Margulies,The Good Wife,ABC,AMC
2015,Veep ,Game of Thrones ,Jeffrey Tambor,Transparent,Jon Hamm,Mad Men,Julia Louis,Dreyfus Veep,Viola Davis,How to Get Away with Murder,HBO,HBO
2016,Veep ,Game of Thrones ,Jeffrey Tambor,Transparent,Rami Malek,Mr. Robot,Julia Louis,Dreyfus Veep,Tatiana Maslany,Orphan Black,HBO,HBO
2017,Veep ,The Handmaid's Tale ,Donald Glover,Atlanta,Sterling K,Brown This Is Us,Julia Louis,Dreyfus Veep,Elisabeth Moss,The Handmaid's Tale,HBO,Hulu
2018,The Marvelous Mrs. Maisel ,Game of Thrones ,Bill Hader,Barry,Matthew Rhys,The Americans,Rachel Brosnahan,Mrs. Maisel,Claire Foy,The Crown,Amazon,HBO
2019,Fleabag ,Game of Thrones ,Bill Hader,Barry,Billy Porter,Pose,Phoebe Waller,Bridge Fleabag,Jodie Comer,Killing Eve,Amazon,HBO
2020,Schitt's Creek ,Succession ,Eugene Levy,Schitt's Creek,Jeremy Strong,Succession,Catherine O'Hara,Schitt's Creek,Zendaya ,Euphoria,Pop,HBO
2021,Ted Lasso ,The Crown ,Jason Sudeikis,Ted Lasso,Josh O'Connor,Connor The Crown,Jean Smart,Smart Hacks,Olivia Colman,Colman,Apple TV+,Netflix
2022,Ted Lasso ,Succession ,Jason Sudeikis,Ted Lasso,Lee Jung,Squid Game,Jean Smart,Smart Hacks,Zendaya ,Euphoria,Apple TV+,HBO
