,Title,url,Rank,Years of running,Certificate,Run time in minutes,Genre,Rating,Actors,Votes,Synopsis
0,The Last of Us,/title/tt3581920/?ref_=adv_li_tt,1,(2023– ),MA,29 ,Comedy,8.7,"['Chris Addison', 'James Smith', 'Peter Capaldi', 'Joanna Scanlan']",24529,The Minister for Social Affairs is continually harassed by Number 10's policy enforcer and dependent on his not-so-reliable team of civil servants.
1,Selfiee,/title/tt15516726/?ref_=adv_li_tt,2,(2023),MA,29 ,Comedy,8.7,"['Chris Addison', 'James Smith', 'Peter Capaldi', 'Joanna Scanlan']",24529,The Minister for Social Affairs is continually harassed by Number 10's policy enforcer and dependent on his not-so-reliable team of civil servants.
2,Gaslight,/title/tt27012110/?ref_=adv_li_tt,3,(2023),MA,29 ,Comedy,8.7,"['Chris Addison', 'James Smith', 'Peter Capaldi', 'Joanna Scanlan']",24529,The Minister for Social Affairs is continually harassed by Number 10's policy enforcer and dependent on his not-so-reliable team of civil servants.
3,Ved,/title/tt20854842/?ref_=adv_li_tt,4,(2022),MA,29 ,Comedy,8.7,"['Chris Addison', 'James Smith', 'Peter Capaldi', 'Joanna Scanlan']",24529,The Minister for Social Affairs is continually harassed by Number 10's policy enforcer and dependent on his not-so-reliable team of civil servants.
4,The Kardashians,/title/tt15791630/?ref_=adv_li_tt,5,(2022– ),MA,29 ,Comedy,8.7,"['Chris Addison', 'James Smith', 'Peter Capaldi', 'Joanna Scanlan']",24529,The Minister for Social Affairs is continually harassed by Number 10's policy enforcer and dependent on his not-so-reliable team of civil servants.
5,Freddy,/title/tt15145764/?ref_=adv_li_tt,6,(2022),MA,29 ,Comedy,8.7,"['Chris Addison', 'James Smith', 'Peter Capaldi', 'Joanna Scanlan']",24529,The Minister for Social Affairs is continually harassed by Number 10's policy enforcer and dependent on his not-so-reliable team of civil servants.
6,Romancham,/title/tt20249418/?ref_=adv_li_tt,7,(2023),MA,29 ,Comedy,8.7,"['Chris Addison', 'James Smith', 'Peter Capaldi', 'Joanna Scanlan']",24529,The Minister for Social Affairs is continually harassed by Number 10's policy enforcer and dependent on his not-so-reliable team of civil servants.
7,Big Mouth,/title/tt21195490/?ref_=adv_li_tt,8,(2022),MA,29 ,Comedy,8.7,"['Chris Addison', 'James Smith', 'Peter Capaldi', 'Joanna Scanlan']",24529,The Minister for Social Affairs is continually harassed by Number 10's policy enforcer and dependent on his not-so-reliable team of civil servants.
8,Gulmohar,/title/tt18951176/?ref_=adv_li_tt,9,(2023),MA,29 ,Comedy,8.7,"['Chris Addison', 'James Smith', 'Peter Capaldi', 'Joanna Scanlan']",24529,The Minister for Social Affairs is continually harassed by Number 10's policy enforcer and dependent on his not-so-reliable team of civil servants.
9,Brahmastra Part One: Shiva,/title/tt6277462/?ref_=adv_li_tt,10,(2022),MA,29 ,Comedy,8.7,"['Chris Addison', 'James Smith', 'Peter Capaldi', 'Joanna Scanlan']",24529,The Minister for Social Affairs is continually harassed by Number 10's policy enforcer and dependent on his not-so-reliable team of civil servants.
10,Taaza Khabar,/title/tt22014226/?ref_=adv_li_tt,11,(2023– ),MA,29 ,Comedy,8.7,"['Chris Addison', 'James Smith', 'Peter Capaldi', 'Joanna Scanlan']",24529,The Minister for Social Affairs is continually harassed by Number 10's policy enforcer and dependent on his not-so-reliable team of civil servants.
11,The Legend,/title/tt11497716/?ref_=adv_li_tt,12,(2022),MA,29 ,Comedy,8.7,"['Chris Addison', 'James Smith', 'Peter Capaldi', 'Joanna Scanlan']",24529,The Minister for Social Affairs is continually harassed by Number 10's policy enforcer and dependent on his not-so-reliable team of civil servants.
12,All That Breathes,/title/tt16377862/?ref_=adv_li_tt,13,(2022),MA,29 ,Comedy,8.7,"['Chris Addison', 'James Smith', 'Peter Capaldi', 'Joanna Scanlan']",24529,The Minister for Social Affairs is continually harassed by Number 10's policy enforcer and dependent on his not-so-reliable team of civil servants.
13,Save the Tigers,/title/tt27412343/?ref_=adv_li_tt,14,(2023– ),MA,29 ,Comedy,8.7,"['Chris Addison', 'James Smith', 'Peter Capaldi', 'Joanna Scanlan']",24529,The Minister for Social Affairs is continually harassed by Number 10's policy enforcer and dependent on his not-so-reliable team of civil servants.
14,Govinda Naam Mera,/title/tt16077702/?ref_=adv_li_tt,15,(2022),MA,29 ,Comedy,8.7,"['Chris Addison', 'James Smith', 'Peter Capaldi', 'Joanna Scanlan']",24529,The Minister for Social Affairs is continually harassed by Number 10's policy enforcer and dependent on his not-so-reliable team of civil servants.
15,Satan's Slaves,/title/tt7076834/?ref_=adv_li_tt,16,(2017),MA,29 ,Comedy,8.7,"['Chris Addison', 'James Smith', 'Peter Capaldi', 'Joanna Scanlan']",24529,The Minister for Social Affairs is continually harassed by Number 10's policy enforcer and dependent on his not-so-reliable team of civil servants.
16,Satan's Slaves: Communion,/title/tt16915972/?ref_=adv_li_tt,17,(2022),MA,29 ,Comedy,8.7,"['Chris Addison', 'James Smith', 'Peter Capaldi', 'Joanna Scanlan']",24529,The Minister for Social Affairs is continually harassed by Number 10's policy enforcer and dependent on his not-so-reliable team of civil servants.
17,"Saas, Bahu Aur Flamingo",/title/tt27442834/?ref_=adv_li_tt,18,(2023– ),MA,29 ,Comedy,8.7,"['Chris Addison', 'James Smith', 'Peter Capaldi', 'Joanna Scanlan']",24529,The Minister for Social Affairs is continually harassed by Number 10's policy enforcer and dependent on his not-so-reliable team of civil servants.
18,A Thursday,/title/tt13028258/?ref_=adv_li_tt,19,(2022),MA,29 ,Comedy,8.7,"['Chris Addison', 'James Smith', 'Peter Capaldi', 'Joanna Scanlan']",24529,The Minister for Social Affairs is continually harassed by Number 10's policy enforcer and dependent on his not-so-reliable team of civil servants.
19,Pop Kaun,/title/tt26931120/?ref_=adv_li_tt,20,(2023– ),MA,29 ,Comedy,8.7,"['Chris Addison', 'James Smith', 'Peter Capaldi', 'Joanna Scanlan']",24529,The Minister for Social Affairs is continually harassed by Number 10's policy enforcer and dependent on his not-so-reliable team of civil servants.
20,Blood Curse,/title/tt16676408/?ref_=adv_li_tt,21,(2022–2023),MA,29 ,Comedy,8.7,"['Chris Addison', 'James Smith', 'Peter Capaldi', 'Joanna Scanlan']",24529,The Minister for Social Affairs is continually harassed by Number 10's policy enforcer and dependent on his not-so-reliable team of civil servants.
21,Shiddat,/title/tt11314148/?ref_=adv_li_tt,22,(2021),MA,29 ,Comedy,8.7,"['Chris Addison', 'James Smith', 'Peter Capaldi', 'Joanna Scanlan']",24529,The Minister for Social Affairs is continually harassed by Number 10's policy enforcer and dependent on his not-so-reliable team of civil servants.
22,Eclipse,/title/tt14820482/?ref_=adv_li_tt,23,(2021– ),MA,29 ,Comedy,8.7,"['Chris Addison', 'James Smith', 'Peter Capaldi', 'Joanna Scanlan']",24529,The Minister for Social Affairs is continually harassed by Number 10's policy enforcer and dependent on his not-so-reliable team of civil servants.
23,Cuttputli,/title/tt15315164/?ref_=adv_li_tt,24,(2022),MA,29 ,Comedy,8.7,"['Chris Addison', 'James Smith', 'Peter Capaldi', 'Joanna Scanlan']",24529,The Minister for Social Affairs is continually harassed by Number 10's policy enforcer and dependent on his not-so-reliable team of civil servants.
24,Human,/title/tt15128088/?ref_=adv_li_tt,25,(2022– ),MA,29 ,Comedy,8.7,"['Chris Addison', 'James Smith', 'Peter Capaldi', 'Joanna Scanlan']",24529,The Minister for Social Affairs is continually harassed by Number 10's policy enforcer and dependent on his not-so-reliable team of civil servants.
25,Aashiqana,/title/tt20673854/?ref_=adv_li_tt,26,(2022– ),MA,29 ,Comedy,8.7,"['Chris Addison', 'James Smith', 'Peter Capaldi', 'Joanna Scanlan']",24529,The Minister for Social Affairs is continually harassed by Number 10's policy enforcer and dependent on his not-so-reliable team of civil servants.
26,Atrangi Re,/title/tt9766332/?ref_=adv_li_tt,27,(2021),MA,29 ,Comedy,8.7,"['Chris Addison', 'James Smith', 'Peter Capaldi', 'Joanna Scanlan']",24529,The Minister for Social Affairs is continually harassed by Number 10's policy enforcer and dependent on his not-so-reliable team of civil servants.
27,Alone,/title/tt15387128/?ref_=adv_li_tt,28,(II) (2023),MA,29 ,Comedy,8.7,"['Chris Addison', 'James Smith', 'Peter Capaldi', 'Joanna Scanlan']",24529,The Minister for Social Affairs is continually harassed by Number 10's policy enforcer and dependent on his not-so-reliable team of civil servants.
28,Ghar Waapsi,/title/tt21267694/?ref_=adv_li_tt,29,(2022– ),MA,29 ,Comedy,8.7,"['Chris Addison', 'James Smith', 'Peter Capaldi', 'Joanna Scanlan']",24529,The Minister for Social Affairs is continually harassed by Number 10's policy enforcer and dependent on his not-so-reliable team of civil servants.
29,The Legend of Hanuman,/title/tt13854248/?ref_=adv_li_tt,30,(2021– ),MA,29 ,Comedy,8.7,"['Chris Addison', 'James Smith', 'Peter Capaldi', 'Joanna Scanlan']",24529,The Minister for Social Affairs is continually harassed by Number 10's policy enforcer and dependent on his not-so-reliable team of civil servants.
30,Run Baby Run,/title/tt24067680/?ref_=adv_li_tt,31,(2023),MA,29 ,Comedy,8.7,"['Chris Addison', 'James Smith', 'Peter Capaldi', 'Joanna Scanlan']",24529,The Minister for Social Affairs is continually harassed by Number 10's policy enforcer and dependent on his not-so-reliable team of civil servants.
31,Soppana Sundari,/title/tt24485376/?ref_=adv_li_tt,32,(2023),MA,29 ,Comedy,8.7,"['Chris Addison', 'James Smith', 'Peter Capaldi', 'Joanna Scanlan']",24529,The Minister for Social Affairs is continually harassed by Number 10's policy enforcer and dependent on his not-so-reliable team of civil servants.
32,Bhoot Police,/title/tt10083640/?ref_=adv_li_tt,33,(2021),MA,29 ,Comedy,8.7,"['Chris Addison', 'James Smith', 'Peter Capaldi', 'Joanna Scanlan']",24529,The Minister for Social Affairs is continually harassed by Number 10's policy enforcer and dependent on his not-so-reliable team of civil servants.
33,Maharshi,/title/tt8333978/?ref_=adv_li_tt,34,(2019),MA,29 ,Comedy,8.7,"['Chris Addison', 'James Smith', 'Peter Capaldi', 'Joanna Scanlan']",24529,The Minister for Social Affairs is continually harassed by Number 10's policy enforcer and dependent on his not-so-reliable team of civil servants.
34,Wedding Agreement: The Series,/title/tt14631244/?ref_=adv_li_tt,35,(2022– ),MA,29 ,Comedy,8.7,"['Chris Addison', 'James Smith', 'Peter Capaldi', 'Joanna Scanlan']",24529,The Minister for Social Affairs is continually harassed by Number 10's policy enforcer and dependent on his not-so-reliable team of civil servants.
