,Title,url,Rank,Years of running,Certificate,Run time in minutes,Genre,Rating,Actors,Votes,Synopsis
0,Rick and Morty,/title/tt2861424/?ref_=ttls_li_tt,1,(2013– ),14,23 ,"Animation, Adventure, Comedy",9.1,"['Justin Roiland', 'Chris Parnell', 'Spencer Grammer', 'Sarah Chalke']",549222,An animated series that follows the exploits of a super scientist and his not-so-bright grandson.
1,Vikings,/title/tt2306299/?ref_=ttls_li_tt,2,(2013–2020),MA,44 ,"Action, Adventure, Drama",8.5,"['Katheryn Winnick', 'Gustaf Skarsgård', 'Alexander Ludwig', 'Georgia Hirst']",549950,"Vikings transports us to the brutal and mysterious world of Ragnar Lothbrok, a Viking warrior and farmer who yearns to explore--and raid--the distant shores across the ocean."
2,Modern Family,/title/tt1442437/?ref_=ttls_li_tt,3,(2009–2020),PG,22 ,"Comedy, Drama, Romance",8.5,"[""Ed O'Neill"", 'Sofía Vergara', 'Julie Bowen', 'Ty Burrell']",448486,Three different but related families face trials and tribulations in their own uniquely comedic ways.
3,Fargo,/title/tt2802850/?ref_=ttls_li_tt,4,(2014–2023),MA,53 ,"Crime, Drama, Thriller",8.9,"['Billy Bob Thornton', 'Martin Freeman', 'Allison Tolman', 'Colin Hanks']",382401,"Various chronicles of deception, intrigue and murder in and around frozen Minnesota. Yet all of these tales mysteriously lead back one way or another to Fargo, North Dakota."
4,South Park,/title/tt0121955/?ref_=ttls_li_tt,5,(1997– ),14,22 ,"Animation, Comedy",8.7,"['Trey Parker', 'Matt Stone', 'Isaac Hayes', 'Mona Marshall']",386734,"Follows the misadventures of four irreverent grade-schoolers in the quiet, dysfunctional town of South Park, Colorado."
5,Brooklyn Nine-Nine,/title/tt2467372/?ref_=ttls_li_tt,6,(2013–2021),14,22 ,"Comedy, Crime",8.4,"['Andy Samberg', 'Stephanie Beatriz', 'Terry Crews', 'Melissa Fumero']",331253,"Comedy series following the exploits of Det. Jake Peralta and his diverse, lovable colleagues as they police the NYPD's 99th Precinct."
6,The Simpsons,/title/tt0096697/?ref_=ttls_li_tt,7,(1989– ),14,22 ,"Animation, Comedy",8.7,"['Dan Castellaneta', 'Nancy Cartwright', 'Harry Shearer', 'Julie Kavner']",416813,The satiric adventures of a working-class family in the misfit city of Springfield.
7,Lost,/title/tt0411008/?ref_=ttls_li_tt,8,(2004–2010),14,44 ,"Adventure, Drama, Fantasy",8.3,"['Jorge Garcia', 'Josh Holloway', 'Yunjin Kim', 'Evangeline Lilly']",566387,The survivors of a plane crash are forced to work together in order to survive on a seemingly deserted tropical island.
8,Parks and Recreation,/title/tt1266020/?ref_=ttls_li_tt,9,(2009–2015),14,22 ,Comedy,8.6,"['Amy Poehler', ""Jim O'Heir"", 'Nick Offerman', 'Chris Pratt']",269297,The absurd antics of an Indiana town's public officials as they pursue sundry projects to make their city a better place.
9,Attack on Titan,/title/tt2560140/?ref_=ttls_li_tt,10,(2013–2023),MA,24 ,"Animation, Action, Adventure",9.1,"['Josh Grelle', 'Bryce Papenbrook', 'Yûki Kaji', 'Yui Ishikawa']",408054,"After his hometown is destroyed and his mother is killed, young Eren Jaeger vows to cleanse the earth of the giant humanoid Titans that have brought humanity to the brink of extinction."
10,Firefly,/title/tt0303461/?ref_=ttls_li_tt,11,(2002–2003),14,44 ,"Adventure, Drama, Sci-Fi",9,"['Nathan Fillion', 'Gina Torres', 'Alan Tudyk', 'Morena Baccarin']",271230,"Five hundred years in the future, a renegade crew aboard a small spacecraft tries to survive as they travel the unknown parts of the galaxy and evade warring factions as well as authority agents out to get them."
11,Doctor Who,/title/tt0436992/?ref_=ttls_li_tt,12,(2005– ),PG,45 ,"Adventure, Drama, Sci-Fi",8.6,"['Jodie Whittaker', 'Peter Capaldi', 'Pearl Mackie', 'Matt Smith']",230900,The further adventures in time and space of the alien adventurer known as the Doctor and their companions from planet Earth.
12,Homeland,/title/tt1796960/?ref_=ttls_li_tt,13,(2011–2020),MA,55 ,"Crime, Drama, Mystery",8.3,"['Claire Danes', 'Mandy Patinkin', 'Damian Lewis', 'Rupert Friend']",348804,A bipolar CIA operative becomes convinced a prisoner of war has been turned by al-Qaeda and is planning to carry out a terrorist attack on American soil.
13,Twin Peaks,/title/tt0098936/?ref_=ttls_li_tt,14,(1990–1991),MA,47 ,"Crime, Drama, Mystery",8.8,"['Kyle MacLachlan', 'Michael Ontkean', 'Mädchen Amick', 'Dana Ashbrook']",203516,An idiosyncratic FBI agent investigates the murder of a young woman in the even more idiosyncratic town of Twin Peaks.
14,The Good Place,/title/tt4955642/?ref_=ttls_li_tt,15,(2016–2020),PG,22 ,"Comedy, Drama, Fantasy",8.2,"['Kristen Bell', 'William Jackson Harper', 'Jameela Jamil', ""D'Arcy Carden""]",170703,Four people and their otherworldly frienemy struggle in the afterlife to define what it means to be good.
15,Seinfeld,/title/tt0098904/?ref_=ttls_li_tt,16,(1989–1998),PG,22 ,Comedy,8.9,"['Jerry Seinfeld', 'Julia Louis-Dreyfus', 'Michael Richards', 'Jason Alexander']",330175,The continuing misadventures of neurotic New York City stand-up comedian Jerry Seinfeld and his equally neurotic New York City friends.
16,How I Met Your Mother,/title/tt0460649/?ref_=ttls_li_tt,17,(2005–2014),14,22 ,"Comedy, Drama, Romance",8.3,"['Josh Radnor', 'Jason Segel', 'Cobie Smulders', 'Neil Patrick Harris']",699449,A father recounts to his children - through a series of flashbacks - the journey he and his four best friends took leading up to him meeting their mother.
17,One Punch Man,/title/tt4508902/?ref_=ttls_li_tt,18,(2015–2019),PG,24 ,"Animation, Action, Comedy",8.7,"['Makoto Furukawa', 'Kaito Ishikawa', 'Max Mittelman', 'Zach Aguilar']",169046,"The story of Saitama, a hero that does it just for fun & can defeat his enemies with a single punch."
18,The Handmaid's Tale,/title/tt5834204/?ref_=ttls_li_tt,19,(2017– ),MA,60 ,"Drama, Sci-Fi, Thriller",8.4,"['Elisabeth Moss', 'Yvonne Strahovski', 'Ann Dowd', 'O-T Fagbenle']",246262,"Set in a dystopian future, a woman is forced to live as a concubine under a fundamentalist theocratic dictatorship."
19,Futurama,/title/tt0149460/?ref_=ttls_li_tt,20,(1999–2023),14,22 ,"Animation, Adventure, Comedy",8.5,"['Billy West', 'John DiMaggio', 'Katey Sagal', 'Tress MacNeille']",245170,"Philip J. Fry, a pizza delivery boy, is accidentally frozen in 1999 and thawed out on New Year's Eve 2999."
20,Sons of Anarchy,/title/tt1124373/?ref_=ttls_li_tt,21,(2008–2014),MA,45 ,"Crime, Drama, Thriller",8.6,"['Charlie Hunnam', 'Katey Sagal', 'Mark Boone Junior', 'Kim Coates']",306159,A biker struggles to balance being a father and being involved in an outlaw motorcycle club.
21,Killing Eve,/title/tt7016936/?ref_=ttls_li_tt,22,(2018–2022),14,42 ,"Action, Adventure, Drama",8.1,"['Jodie Comer', 'Sandra Oh', 'Fiona Shaw', 'Kim Bodnia']",123632,"After a series of events, the lives of a security operative and an assassin become inextricably linked."
22,This Is Us,/title/tt5555260/?ref_=ttls_li_tt,23,(2016–2022),14,45 ,"Comedy, Drama, Romance",8.7,"['Milo Ventimiglia', 'Mandy Moore', 'Sterling K. Brown', 'Chrissy Metz']",149161,"A heartwarming and emotional story about a unique set of triplets, their struggles, and their wonderful parents."
23,Grey's Anatomy,/title/tt0413573/?ref_=ttls_li_tt,24,(2005– ),14,41 ,"Drama, Romance",7.6,"['Ellen Pompeo', 'Chandra Wilson', 'James Pickens Jr.', 'Justin Chambers']",320640,A drama centered on the personal and professional lives of five surgical interns and their supervisors.
24,Fullmetal Alchemist: Brotherhood,/title/tt1355642/?ref_=ttls_li_tt,25,(2009–2010),14,24 ,"Animation, Action, Adventure",9.1,"['Kent Williams', 'Iemasa Kayumi', 'Matthew Leonhart', 'Vic Mignogna']",177572,Two brothers search for a Philosopher's Stone after an attempt to revive their deceased mother goes awry and leaves them in damaged physical forms.
25,Arrested Development,/title/tt0367279/?ref_=ttls_li_tt,26,(2003–2019),14,22 ,Comedy,8.7,"['Jason Bateman', 'Michael Cera', 'Portia de Rossi', 'Will Arnett']",312042,"Level-headed son Michael Bluth takes over family affairs after his father is imprisoned. But the rest of his spoiled, dysfunctional family are making his job unbearable."
26,Archer,/title/tt1486217/?ref_=ttls_li_tt,27,(2009– ),MA,22 ,"Animation, Action, Comedy",8.6,"['H. Jon Benjamin', 'Judy Greer', 'Amber Nash', 'Chris Parnell']",158800,Covert black ops and espionage take a back seat to zany personalities and relationships between secret agents and drones.
27,Community,/title/tt1439629/?ref_=ttls_li_tt,28,(2009–2015),14,22 ,Comedy,8.5,"['Joel McHale', 'Danny Pudi', 'Donald Glover', 'Chevy Chase']",275603,A suspended lawyer is forced to enroll in a community college with an eccentric staff and student body.
28,Prison Break,/title/tt0455275/?ref_=ttls_li_tt,29,(2005–2017),14,44 ,"Action, Crime, Drama",8.3,"['Dominic Purcell', 'Wentworth Miller', 'Amaury Nolasco', 'Robert Knepper']",550379,"Due to a political conspiracy, an innocent man is sent to death row and his only hope is his brother, who makes it his mission to deliberately get himself sent to the same prison in order to break the both of them out, from the inside."
29,Agents of S.H.I.E.L.D.,/title/tt2364582/?ref_=ttls_li_tt,30,(2013–2020),PG,45 ,"Action, Adventure, Drama",7.5,"['Clark Gregg', 'Ming-Na Wen', 'Brett Dalton', 'Iain De Caestecker']",220336,"The missions of the Strategic Homeland Intervention, Enforcement and Logistics Division."
30,The X-Files,/title/tt0106179/?ref_=ttls_li_tt,31,(1993–2018),14,45 ,"Crime, Drama, Mystery",8.6,"['David Duchovny', 'Gillian Anderson', 'Mitch Pileggi', 'William B. Davis']",233645,"Two F.B.I. Agents, Fox Mulder the believer and Dana Scully the skeptic, investigate the strange and unexplained, while hidden forces work to impede their efforts."
31,My Hero Academia,/title/tt5626028/?ref_=ttls_li_tt,32,(2016– ),14,24 ,"Animation, Action, Adventure",8.3,"['Daiki Yamashita', 'Justin Briner', 'Nobuhiko Okamoto', 'Clifford Chapin']",69035,A superhero-loving boy without any powers is determined to enroll in a prestigious hero academy and learn what it really means to be a hero.
32,Billions,/title/tt4270492/?ref_=ttls_li_tt,33,(2016– ),MA,60 ,Drama,8.4,"['Paul Giamatti', 'Damian Lewis', 'Maggie Siff', 'David Costabile']",97488,"New money means no mercy as Mike Prince takes the Axe Capital throne. Chuck Rhoades is convinced no one should have that much wealth - or power. As all the players seek out new alliances, only one thing's for certain - wealth means war."
33,Scrubs,/title/tt0285403/?ref_=ttls_li_tt,34,(2001–2010),14,22 ,"Comedy, Drama",8.4,"['Zach Braff', 'Donald Faison', 'Sarah Chalke', 'John C. McGinley']",261572,"In the unreal world of Sacred Heart Hospital, intern John ""J.D."" Dorian learns the ways of medicine, friendship and life."
34,How to Get Away with Murder,/title/tt3205802/?ref_=ttls_li_tt,35,(2014–2020),14,43 ,"Crime, Drama, Mystery",8.1,"['Viola Davis', 'Billy Brown', 'Jack Falahee', 'Aja Naomi King']",157127,A group of ambitious law students and their brilliant criminal defense professor become involved in a twisted murder plot that promises to change the course of their lives.
35,The Sopranos,/title/tt0141842/?ref_=ttls_li_tt,36,(1999–2007),MA,55 ,"Crime, Drama",9.2,"['James Gandolfini', 'Lorraine Bracco', 'Edie Falco', 'Michael Imperioli']",421137,"New Jersey mob boss Tony Soprano deals with personal and professional issues in his home and business life that affect his mental state, leading him to seek professional psychiatric counseling."
36,Legion,/title/tt5114356/?ref_=ttls_li_tt,37,(2017–2019),MA,60 ,"Action, Drama, Sci-Fi",8.2,"['Dan Stevens', 'Rachel Keller', 'Aubrey Plaza', 'Bill Irwin']",93347,"David Haller is a troubled young man diagnosed as schizophrenic, but after a strange encounter he discovers special powers that will change his life forever."
37,Pride and Prejudice,/title/tt0112130/?ref_=ttls_li_tt,38,(1995),PG,327 ,"Drama, Romance",8.8,"['Colin Firth', 'Jennifer Ehle', 'Susannah Harker', 'Julia Sawalha']",87563,"While the arrival of wealthy gentlemen sends her marriage-minded mother into a frenzy, willful and opinionated Elizabeth Bennet matches wits with haughty Mr. Darcy."
38,Elementary,/title/tt2191671/?ref_=ttls_li_tt,39,(2012–2019),14,60 ,"Crime, Drama, Mystery",7.9,"['Jonny Lee Miller', 'Lucy Liu', 'Aidan Quinn', 'Jon Michael Hill']",114130,"A modern take on the cases of Sherlock Holmes, with the detective now living in New York City."
