,Title,url,Rank,Years of running,Certificate,Run time in minutes,Genre,Rating,Actors,Votes,Synopsis
0,Our Planet,/title/tt9253866/?ref_=ttls_li_tt,1,(2019),G,403 ,Documentary,9.3,['David Attenborough'],45742,"Documentary series focusing on the breadth of the diversity of habitats around the world, from the remote Arctic wilderness and mysterious deep oceans to the vast landscapes of Africa and diverse jungles of South America."
1,The Last Dance,/title/tt8420184/?ref_=ttls_li_tt,2,(2020),MA,491 ,"Documentary, Biography, History",9.1,"['Michael Jordan', 'Phil Jackson', 'Scottie Pippen', 'David Aldridge']",133072,"Charting the rise of the 1990s Chicago Bulls, led by Michael Jordan, one of the most notable dynasties in sports history."
2,When They See Us,/title/tt7137906/?ref_=ttls_li_tt,3,(2019),MA,296 ,"Biography, Crime, Drama",8.9,"['Asante Blackk', 'Caleel Harris', 'Ethan Herisse', 'Marquis Rodriguez']",127166,Five teens from Harlem become trapped in a nightmare when they're falsely accused of a brutal attack in Central Park. Based on the true story.
3,Black Mirror,/title/tt2085059/?ref_=ttls_li_tt,4,(2011– ),MA,60 ,"Drama, Mystery, Sci-Fi",8.8,"['Daniel Lapaine', 'Hannah John-Kamen', 'Michaela Coel', 'Beatrice Robertson-Jones']",569681,"An anthology series exploring a twisted, high-tech multiverse where humanity's greatest innovations and darkest instincts collide."
4,Narcos,/title/tt2707408/?ref_=ttls_li_tt,5,(2015–2017),MA,49 ,"Biography, Crime, Drama",8.8,"['Pedro Pascal', 'Wagner Moura', 'Boyd Holbrook', 'Alberto Ammann']",440215,"A chronicled look at the criminal exploits of Colombian drug lord Pablo Escobar, as well as the many other drug kingpins who plagued the country through the years."
5,Dark,/title/tt5753856/?ref_=ttls_li_tt,6,(2017–2020),MA,60 ,"Crime, Drama, Mystery",8.7,"['Louis Hofmann', 'Karoline Eichhorn', 'Lisa Vicari', 'Maja Schöne']",407072,"A family saga with a supernatural twist, set in a German town where the disappearance of two young children exposes the relationships among four families."
6,Stranger Things,/title/tt4574334/?ref_=ttls_li_tt,7,(2016–2022),14,51 ,"Drama, Fantasy, Horror",8.7,"['Millie Bobby Brown', 'Finn Wolfhard', 'Winona Ryder', 'David Harbour']",1238513,"When a young boy disappears, his mother, a police chief and his friends must confront terrifying supernatural forces in order to get him back."
7,House of Cards,/title/tt1856010/?ref_=ttls_li_tt,8,(2013–2018),MA,51 ,Drama,8.7,"['Kevin Spacey', 'Michel Gill', 'Robin Wright', 'Kate Mara']",513648,A Congressman works with his equally conniving wife to exact revenge on the people who betrayed him.
8,Arrested Development,/title/tt0367279/?ref_=ttls_li_tt,9,(2003–2019),14,22 ,Comedy,8.7,"['Jason Bateman', 'Michael Cera', 'Portia de Rossi', 'Will Arnett']",312042,"Level-headed son Michael Bluth takes over family affairs after his father is imprisoned. But the rest of his spoiled, dysfunctional family are making his job unbearable."
9,The Crown,/title/tt4786824/?ref_=ttls_li_tt,10,(2016–2023),MA,58 ,"Biography, Drama, History",8.6,"['Claire Foy', 'Olivia Colman', 'Imelda Staunton', 'Matt Smith']",229187,Follows the political rivalries and romance of Queen Elizabeth II's reign and the events that shaped the second half of the 20th century.
