Year,Comedy,Drama,Lead Comedy Actor,Lead Comedy Actor(Title),Lead Drama Actor,Lead Drama Actor(Title),Lead Comedy Actress,Lead Comedy Actress(Title),Lead Drama Actress,Lead Comedy Actress(Titles)
2010,Modern Family (ABC),Mad Men (AMC),Jim Parsons,The Big Bang Theory,Bryan Cranston,Breaking Bad,Edie Falco,Nurse Jackie,Kyra Sedgwick,The Closer
2011,Modern Family (ABC),Mad Men (AMC),Jim Parsons,The Big Bang Theory,Kyle Chandler,Friday Night Lights,Melissa McCarthy,Mike & Molly,Julianna Margulies,The Good Wife
2012,Modern Family (ABC),Homeland (Showtime),Jon Cryer,Two and a Half Men,Damian Lewis,Homeland,Julia Louis,Dreyfus Veep,Claire Danes,Homeland
2013,Modern Family (ABC),Breaking Bad (AMC),Jim Parsons,The Big Bang Theory,Jeff Daniels,The Newsroom,Julia Louis,Dreyfus Veep,Claire Danes,Homeland
2014,Modern Family (ABC),Breaking Bad (AMC),Jim Parsons,The Big Bang Theory,Bryan Cranston,Breaking Bad,Julia Louis,Dreyfus Veep,Julianna Margulies,The Good Wife
2015,Veep (HBO),Game of Thrones (HBO),Jeffrey Tambor,Transparent,Jon Hamm,Mad Men,Julia Louis,Dreyfus Veep,Viola Davis,How to Get Away with Murder
2016,Veep (HBO),Game of Thrones (HBO),Jeffrey Tambor,Transparent,Rami Malek,Mr. Robot,Julia Louis,Dreyfus Veep,Tatiana Maslany,Orphan Black
2017,Veep (HBO),The Handmaid's Tale (Hulu),Donald Glover,Atlanta,Sterling K,Brown This Is Us,Julia Louis,Dreyfus Veep,Elisabeth Moss,The Handmaid's Tale
2018,The Marvelous Mrs. Maisel (Amazon),Game of Thrones (HBO),Bill Hader,Barry,Matthew Rhys,The Americans,Rachel Brosnahan,Mrs. Maisel,Claire Foy,The Crown
2019,Fleabag (Amazon),Game of Thrones (HBO),Bill Hader,Barry,Billy Porter,Pose,Phoebe Waller,Bridge Fleabag,Jodie Comer,Killing Eve
2020,Schitt's Creek (Pop),Succession (HBO),Eugene Levy,Schitt's Creek,Jeremy Strong,Succession,Catherine O'Hara,Schitt's Creek,Zendaya ,Euphoria
2021,Ted Lasso (Apple TV+),The Crown (Netflix),Jason Sudeikis,Ted Lasso,Josh O'Connor,Connor The Crown,Jean Smart,Smart Hacks,Olivia Colman,Colman
2022,Ted Lasso (Apple TV+),Succession (HBO),Jason Sudeikis,Ted Lasso,Lee Jung,Squid Game,Jean Smart,Smart Hacks,Zendaya ,Euphoria
