Year,Actor/Actress,Role,Titles,Episode Submissions,Network,Category,Result
2010,Jim Parsons,Sheldon Cooper,The Big Bang Theory,"""The Pants Alternative""",CBS,Comedy,Winner
2010,Alec Baldwin,Jack Donaghy,30 Rock,"""Don Geiss, America and Hope""",NBC,Comedy,Not A Winner
2010,Steve Carell,Michael Scott,The Office,"""The Cover-Up""",NBC,Comedy,Not A Winner
2010,Larry David,Larry David,Curb Your Enthusiasm,"""Seinfeld""",HBO,Comedy,Not A Winner
2010,Matthew Morrison,Will Schuester,Glee,"""Mash-Up""",Fox,Comedy,Not A Winner
2010,Tony Shalhoub,Adrian Monk,Monk,"""Mr. Monk and the End""",USA,Comedy,Not A Winner
2011,Jim Parsons,Sheldon Cooper,The Big Bang Theory,"""The Agreement Dissection""",CBS,Comedy,Winner
2011,Alec Baldwin,Jack Donaghy,30 Rock,"""Respawn""",NBC,Comedy,Not A Winner
2011,Steve Carell,Michael Scott,The Office,"""Goodbye, Michael""",NBC,Comedy,Not A Winner
2011,Louis C.K.,Louie,Louie,"""Bully""",FX,Comedy,Not A Winner
2011,Johnny Galecki,Leonard Hofstadter,The Big Bang Theory,"""The Benefactor Factor""",CBS,Comedy,Not A Winner
2011,Matt LeBlanc,Matt LeBlanc,Episodes,"""Episode Seven""",Showtime,Comedy,Not A Winner
2012,Jon Cryer,Alan Harper,Two and a Half Men,"""Frodo's Headshots""",CBS,Comedy,Winner
2012,Alec Baldwin,Jack Donaghy,30 Rock,"""Live from Studio 6H""",NBC,Comedy,Not A Winner
2012,Louis C.K.,Louie,Louie,"""Duckling""",FX,Comedy,Not A Winner
2012,Jim Parsons,Sheldon Cooper,The Big Bang Theory,"""The Werewolf Transformation""",CBS,Comedy,Not A Winner
2012,Don Cheadle,Marty Kaan,House of Lies,"""The Gods of Dangerous Financial Instruments""",Showtime,Comedy,Not A Winner
2012,Larry David,Larry David,Curb Your Enthusiasm,"""Palestinian Chicken""",HBO,Comedy,Not A Winner
2013,Jim Parsons,Sheldon Cooper,The Big Bang Theory,"""The Habitation Configuration""",CBS,Comedy,Winner
2013,Alec Baldwin,Jack Donaghy,30 Rock,"""A Goon's Deed in a Weary World""",NBC,Comedy,Not A Winner
2013,Jason Bateman,Michael Bluth,Arrested Development,"""Flight of the Phoenix""",Netflix,Comedy,Not A Winner
2013,Louis C.K.,Louie,Louie,"""Daddy's Girlfriend, Part 1""",FX,Comedy,Not A Winner
2013,Don Cheadle,Marty Kaan,House of Lies,"""Hostile Takeover""",Showtime,Comedy,Not A Winner
2013,Matt LeBlanc,Matt LeBlanc,Episodes,"""Episode Two""",Showtime,Comedy,Not A Winner
2014,Jim Parsons,Sheldon Cooper,The Big Bang Theory,"""The Relationship Diremption""",CBS,Comedy,Winner
2014,Louis C.K.,Louie,Louie,"""Model""",FX,Comedy,Not A Winner
2014,Ricky Gervais,Derek Noakes,Derek,"""Episode 6""",Netflix,Comedy,Not A Winner
2014,Matt LeBlanc,Matt LeBlanc,Episodes,"""Episode Six""",Showtime,Comedy,Not A Winner
2014,Don Cheadle,Marty Kaan,House of Lies,"""Wreckage""",Showtime,Comedy,Not A Winner
2014,William H. Macy,Frank Gallagher,Shameless,"""Lazarus""",Showtime,Comedy,Not A Winner
2015,Jeffrey Tambor,Maura Pfefferman,Transparent,"""The Letting Go""",Amazon,Comedy,Winner
2015,Anthony Anderson,Andre Johnson,Black-ish,"""Sex, Lies, and Vasectomies""",ABC,Comedy,Not A Winner
2015,Louis C.K.,Louie,Louie,"""Bobby's House""",FX,Comedy,Not A Winner
2015,Don Cheadle,Marty Kaan,House of Lies,"""It's a Box Inside a Box Inside a Box, Dipshit""",Showtime,Comedy,Not A Winner
2015,Will Forte,Phil Miller,The Last Man on Earth,"""Alive in Tucson""",Fox,Comedy,Not A Winner
2015,Matt LeBlanc,Matt LeBlanc,Episodes,"""Episode Five""",Showtime,Comedy,Not A Winner
2015,William H. Macy,Frank Gallagher,Shameless,"""A Night to Remem... Wait, What?""",Showtime,Comedy,Not A Winner
2016,Jeffrey Tambor,Maura Pfefferman,Transparent,"""Man on the Land""",Amazon,Comedy,Winner
2016,Anthony Anderson,Andre Johnson,Black-ish,"""Hope""",ABC,Comedy,Not A Winner
2016,Aziz Ansari,Dev Shah,Master of None,"""Parents""",Netflix,Comedy,Not A Winner
2016,Will Forte,Phil Miller,The Last Man on Earth,"""30 Years of Science Down the Tubes""",Fox,Comedy,Not A Winner
2016,William H. Macy,Frank Gallagher,Shameless,"""I Only Miss Her When I'm Breathing""",Showtime,Comedy,Not A Winner
2016,Thomas Middleditch,Richard Hendricks,Silicon Valley,"""The Empty Chair""",HBO,Comedy,Not A Winner
2017,Donald Glover,Earn Marks,Atlanta,"""The Big Bang""",FX,Comedy,Winner
2017,Anthony Anderson,Andre Johnson,Black-ish,"""Lemons""",ABC,Comedy,Not A Winner
2017,Aziz Ansari,Dev Shah,Master of None,"""The Dinner Party""",Netflix,Comedy,Not A Winner
2017,Zach Galifianakis,Chip and Dale Baskets,Baskets,"""Freaks""",FX,Comedy,Not A Winner
2017,William H. Macy,Frank Gallagher,Shameless,"""You Sold Me the Laundromat, Remember?""",Showtime,Comedy,Not A Winner
2017,Jeffrey Tambor,Maura Pfefferman,Transparent,"""Elizah""",Amazon,Comedy,Not A Winner
2018,Bill Hader,Barry Berkman / Barry Block,Barry,"""Chapter Seven: Loud, Fast, and Keep Going""",HBO,Comedy,Winner
2018,Anthony Anderson,Andre Johnson,Black-ish,"""Advance to Go (Collect $200)""",ABC,Comedy,Not A Winner
2018,Ted Danson,Michael,The Good Place,"""Dance Dance Resolution""",NBC,Comedy,Not A Winner
2018,Larry David,Larry David,Curb Your Enthusiasm,"""Fatwa!""",HBO,Comedy,Not A Winner
2018,Donald Glover,Earn Marks,Atlanta,"""Teddy Perkins""",FX,Comedy,Not A Winner
2018,William H. Macy,Frank Gallagher,Shameless,"""Sleepwalking""",Showtime,Comedy,Not A Winner
2019,Bill Hader,Barry Berkman / Barry Block,Barry,"""The Truth Has a Ring to It""",HBO,Comedy,Winner
2019,Anthony Anderson,Andre Johnson,Black-ish,"""Purple Rain""",ABC,Comedy,Not A Winner
2019,Don Cheadle,Maurice Monroe,Black Monday,"""365""",Showtime,Comedy,Not A Winner
2019,Ted Danson,Michael,The Good Place,"""The Worst Possible Use of Free Will""",NBC,Comedy,Not A Winner
2019,Michael Douglas,Sandy Kominsky,The Kominsky Method,"""Chapter One: An Actor Avoids""",Netflix,Comedy,Not A Winner
2019,Eugene Levy,Johnny Rose,Schitt's Creek,"""Rock On!""",Pop TV,Comedy,Not A Winner
2020,Eugene Levy,Johnny Rose,Schitt's Creek,"""The Pitch""",Pop TV,Comedy,Winner
2020,Anthony Anderson,Andre Johnson,Black-ish,"""Love, Boat""",ABC,Comedy,Not A Winner
2020,Don Cheadle,Maurice Monroe,Black Monday,"""Who Are You Supposed to Be?""",Showtime,Comedy,Not A Winner
2020,Ted Danson,Michael,The Good Place,"""Whenever You're Ready""",NBC,Comedy,Not A Winner
2020,Michael Douglas,Sandy Kominsky,The Kominsky Method,"""Chapter 12: A Libido Sits in the Fridge""",Netflix,Comedy,Not A Winner
2020,Ramy Youssef,Ramy Hassan,Ramy,"""You Are Naked in Front of Your Sheikh""",Hulu,Comedy,Not A Winner
2021,Jason Sudeikis,Ted Lasso,Ted Lasso,"""Pilot""",Apple TV+,Comedy,Winner
2021,Anthony Anderson,Andre Johnson,Black-ish,"""What About Gary?""",ABC,Comedy,Not A Winner
2021,Michael Douglas,Sandy Kominsky,The Kominsky Method,"""Chapter 20. The round toes, of the high shoes""",Netflix,Comedy,Not A Winner
2021,William H. Macy,Frank Gallagher,Shameless,"""Father Frank, Full of Grace""",Showtime,Comedy,Not A Winner
2021,Kenan Thompson,Kenan Williams,Kenan,"""Flirting""",NBC,Comedy,Not A Winner
2022,Jason Sudeikis,Ted Lasso,Ted Lasso,"""No Weddings and a Funeral""",Apple TV+,Comedy,Winner
2022,Donald Glover,Earn Marks,Atlanta,"""Sinterklaas is Coming to Town""",FX,Comedy,Not A Winner
2022,Bill Hader,Barry Berkman / Barry Block,Barry,"""starting now""",HBO,Comedy,Not A Winner
2022,Nicholas Hoult,Peter III / Yemelyan Pugachev,The Great,"""Wedding""",Hulu,Comedy,Not A Winner
2022,Steve Martin,Charles-Haden Savage,Only Murders in the Building,"""Open and Shut""",Hulu,Comedy,Not A Winner
2022,Martin Short,Oliver Putnam,Only Murders in the Building,"""How Well Do You Know Your Neighbors?""",Hulu,Comedy,Not A Winner
2010,Edie Falco,Jackie Peyton,Nurse Jackie,"""Pilot""",Showtime,Comedy,Winner
2010,Tina Fey,Liz Lemon,30 Rock,"""Dealbreakers Talk Show#0001""",NBC,Comedy,Not A Winner
2010,Amy Poehler,Leslie Knope,Parks and Recreation,"""Telethon""",NBC,Comedy,Not A Winner
2010,Toni Collette,Tara Gregson,United States of Tara,"""Torando!""",Showtime,Comedy,Not A Winner
2010,Julia Louis-Dreyfus,Christine Campbell,The New Adventures of Old Christine,"""I Love What You Do for Me""",CBS,Comedy,Not A Winner
2010,Lea Michele,Rachel Berry,Glee,"""Sectionals""",Fox,Comedy,Not A Winner
2011,Melissa McCarthy,Molly Flynn,Mike & Molly,"""First Date""",CBS,Comedy,Winner
2011,Edie Falco,Jackie Peyton,Nurse Jackie,"""Rat Falls""",Showtime,Comedy,Not A Winner
2011,Tina Fey,Liz Lemon,30 Rock,"""Double-Edged Sword""",NBC,Comedy,Not A Winner
2011,Laura Linney,Cathy Jamison,The Big C,"""Pilot""",Showtime,Comedy,Not A Winner
2011,Martha Plimpton,Virginia Chance,Raising Hope,"""Say Cheese""",Fox,Comedy,Not A Winner
2011,Amy Poehler,Leslie Knope,Parks and Recreation,"""Flu Season""",NBC,Comedy,Not A Winner
2012,Julia Louis-Dreyfus,Selina Meyer,Veep,"""Tears""",HBO,Comedy,Winner
2012,Zooey Deschanel,Jessica Day,New Girl,"""Bad in Bed""",Fox,Comedy,Not A Winner
2012,Lena Dunham,Hannah Horvath,Girls,"""She Did""",HBO,Comedy,Not A Winner
2012,Edie Falco,Jackie Peyton,Nurse Jackie,"""Disneyland Sucks""",Showtime,Comedy,Not A Winner
2012,Tina Fey,Liz Lemon,30 Rock,"""The Tuxedo Begins""",NBC,Comedy,Not A Winner
2012,Melissa McCarthy,Molly Flynn,Mike & Molly,"""The Dress""",CBS,Comedy,Not A Winner
2012,Amy Poehler,Leslie Knope,Parks and Recreation,"""Win, Lose, or Draw""",NBC,Comedy,Not A Winner
2013,Julia Louis-Dreyfus,Selina Meyer,Veep,"""Running""",HBO,Comedy,Winner
2013,Laura Dern,Amy Jellicoe,Enlightened,"""All I Ever Wanted""",HBO,Comedy,Not A Winner
