,Title,url,Rank,Years of running,Certificate,Run time in minutes,Genre,Rating,Actors,Votes,Synopsis
0,Breaking Bad,/title/tt0903747/?ref_=ttls_li_tt,1,(2008–2013),MA,49  ,"Crime, Drama, Thriller",9.5,"['Bryan Cranston', 'Aaron Paul', 'Anna Gunn', 'Betsy Brandt']",1968905,A chemistry teacher diagnosed with inoperable lung cancer turns to manufacturing and selling methamphetamine with a former student in order to secure his family's future.
1,Game of Thrones,/title/tt0944947/?ref_=ttls_li_tt,2,(2011–2019),MA,57  ,"Action, Adventure, Drama",9.2,"['Emilia Clarke', 'Peter Dinklage', 'Kit Harington', 'Lena Headey']",2157091,"Nine noble families fight for control over the lands of Westeros, while an ancient enemy returns after being dormant for millennia."
2,The Mandalorian,/title/tt8111088/?ref_=ttls_li_tt,3,(2019– ),14,40  ,"Action, Adventure, Fantasy",8.7,"['Pedro Pascal', 'Chris Bartlett', 'Katee Sackhoff', 'Carl Weathers']",540449,"The travels of a lone bounty hunter in the outer reaches of the galaxy, far from the authority of the New Republic."
3,Friends,/title/tt0108778/?ref_=ttls_li_tt,4,(1994–2004),14,22  ,"Comedy, Romance",8.9,"['Jennifer Aniston', 'Courteney Cox', 'Lisa Kudrow', 'Matt LeBlanc']",1023478,Follows the personal and professional lives of six twenty to thirty year-old friends living in the Manhattan borough of New York City.
4,The Sopranos,/title/tt0141842/?ref_=ttls_li_tt,5,(1999–2007),MA,55  ,"Crime, Drama",9.2,"['James Gandolfini', 'Lorraine Bracco', 'Edie Falco', 'Michael Imperioli']",421125,"New Jersey mob boss Tony Soprano deals with personal and professional issues in his home and business life that affect his mental state, leading him to seek professional psychiatric counseling."
5,The Wonder Years,/title/tt0094582/?ref_=ttls_li_tt,6,(1988–1993),PG,22  ,"Comedy, Drama, Family",8.4,"['Fred Savage', 'Dan Lauria', 'Alley Mills', 'Jason Hervey']",38987,Kevin Arnold recalls growing up during the late 60s and early 70s; the turbulent social times make the transition from child to adult unusually interesting.
6,Seinfeld,/title/tt0098904/?ref_=ttls_li_tt,7,(1989–1998),PG,22  ,Comedy,8.9,"['Jerry Seinfeld', 'Julia Louis-Dreyfus', 'Michael Richards', 'Jason Alexander']",330170,The continuing misadventures of neurotic New York City stand-up comedian Jerry Seinfeld and his equally neurotic New York City friends.
7,House of Cards,/title/tt1856010/?ref_=ttls_li_tt,8,(2013–2018),MA,51  ,Drama,8.7,"['Kevin Spacey', 'Michel Gill', 'Robin Wright', 'Kate Mara']",513641,A Congressman works with his equally conniving wife to exact revenge on the people who betrayed him.
8,Lost,/title/tt0411008/?ref_=ttls_li_tt,9,(2004–2010),14,44  ,"Adventure, Drama, Fantasy",8.3,"['Jorge Garcia', 'Josh Holloway', 'Yunjin Kim', 'Evangeline Lilly']",566380,The survivors of a plane crash are forced to work together in order to survive on a seemingly deserted tropical island.
9,Westworld,/title/tt0475784/?ref_=ttls_li_tt,10,(2016–2022),MA,62  ,"Drama, Mystery, Sci-Fi",8.5,"['Evan Rachel Wood', 'Jeffrey Wright', 'Ed Harris', 'Thandiwe Newton']",514776,"At the intersection of the near future and the reimagined past, waits a world in which every human appetite can be indulged without consequence."
10,Stranger Things,/title/tt4574334/?ref_=ttls_li_tt,11,(2016–2022),14,51  ,"Drama, Fantasy, Horror",8.7,"['Millie Bobby Brown', 'Finn Wolfhard', 'Winona Ryder', 'David Harbour']",1238493,"When a young boy disappears, his mother, a police chief and his friends must confront terrifying supernatural forces in order to get him back."
