,Year,Actor,Role,Program,Episode Submissions,Network
0,2010 (62nd) [1],,,,,
1,2010 (62nd) [1],Jim Parsons,Sheldon Cooper,The Big Bang Theory,"""The Pants Alternative""",CBS
2,2010 (62nd) [1],Alec Baldwin,Jack Donaghy,30 Rock,"""Don Geiss, America and Hope""",NBC
3,2010 (62nd) [1],Steve Carell,Michael Scott,The Office,"""The Cover-Up""",NBC
4,2010 (62nd) [1],Larry David,Larry David,Curb Your Enthusiasm,"""Seinfeld""",HBO
5,2010 (62nd) [1],Matthew Morrison,Will Schuester,Glee,"""Mash-Up""",Fox
6,2010 (62nd) [1],Tony Shalhoub,Adrian Monk,Monk,"""Mr. Monk and the End""",USA
7,2011 (63rd) [2],,,,,
8,2011 (63rd) [2],Jim Parsons,Sheldon Cooper,The Big Bang Theory,"""The Agreement Dissection""",CBS
9,2011 (63rd) [2],Alec Baldwin,Jack Donaghy,30 Rock,"""Respawn""",NBC
10,2011 (63rd) [2],Steve Carell,Michael Scott,The Office,"""Goodbye, Michael""",NBC
11,2011 (63rd) [2],Louis C.K.,Louie,Louie,"""Bully""",FX
12,2011 (63rd) [2],Johnny Galecki,Leonard Hofstadter,The Big Bang Theory,"""The Benefactor Factor""",CBS
13,2011 (63rd) [2],Matt LeBlanc,Matt LeBlanc,Episodes,"""Episode Seven""",Showtime
14,2012 (64th) [3],,,,,
15,2012 (64th) [3],Jon Cryer,Alan Harper,Two and a Half Men,"""Frodo's Headshots""",CBS
16,2012 (64th) [3],Alec Baldwin,Jack Donaghy,30 Rock,"""Live from Studio 6H""",NBC
17,2012 (64th) [3],Louis C.K.,Louie,Louie,"""Duckling""",FX
18,2012 (64th) [3],Jim Parsons,Sheldon Cooper,The Big Bang Theory,"""The Werewolf Transformation""",CBS
19,2012 (64th) [3],Don Cheadle,Marty Kaan,House of Lies,"""The Gods of Dangerous Financial Instruments""",Showtime
20,2012 (64th) [3],Larry David,Larry David,Curb Your Enthusiasm,"""Palestinian Chicken""",HBO
21,2013 (65th) [4],,,,,
22,2013 (65th) [4],Jim Parsons,Sheldon Cooper,The Big Bang Theory,"""The Habitation Configuration""",CBS
23,2013 (65th) [4],Alec Baldwin,Jack Donaghy,30 Rock,"""A Goon's Deed in a Weary World""",NBC
24,2013 (65th) [4],Jason Bateman,Michael Bluth,Arrested Development,"""Flight of the Phoenix""",Netflix
25,2013 (65th) [4],Louis C.K.,Louie,Louie,"""Daddy's Girlfriend, Part 1""",FX
26,2013 (65th) [4],Don Cheadle,Marty Kaan,House of Lies,"""Hostile Takeover""",Showtime
27,2013 (65th) [4],Matt LeBlanc,Matt LeBlanc,Episodes,"""Episode Two""",Showtime
28,2014 (66th) [5],,,,,
29,2014 (66th) [5],Jim Parsons,Sheldon Cooper,The Big Bang Theory,"""The Relationship Diremption""",CBS
30,2014 (66th) [5],Louis C.K.,Louie,Louie,"""Model""",FX
31,2014 (66th) [5],Ricky Gervais,Derek Noakes,Derek,"""Episode 6""",Netflix
32,2014 (66th) [5],Matt LeBlanc,Matt LeBlanc,Episodes,"""Episode Six""",Showtime
33,2014 (66th) [5],Don Cheadle,Marty Kaan,House of Lies,"""Wreckage""",Showtime
34,2014 (66th) [5],William H. Macy,Frank Gallagher,Shameless,"""Lazarus""",Showtime
35,2015 (67th) [6],,,,,
36,2015 (67th) [6],Jeffrey Tambor,Maura Pfefferman,Transparent,"""The Letting Go""",Amazon
37,2015 (67th) [6],Anthony Anderson,Andre Johnson,Black-ish,"""Sex, Lies, and Vasectomies""",ABC
38,2015 (67th) [6],Louis C.K.,Louie,Louie,"""Bobby's House""",FX
39,2015 (67th) [6],Don Cheadle,Marty Kaan,House of Lies,"""It's a Box Inside a Box Inside a Box, Dipshit""",Showtime
40,2015 (67th) [6],Will Forte,Phil Miller,The Last Man on Earth,"""Alive in Tucson""",Fox
41,2015 (67th) [6],Matt LeBlanc,Matt LeBlanc,Episodes,"""Episode Five""",Showtime
42,2015 (67th) [6],William H. Macy,Frank Gallagher,Shameless,"""A Night to Remem... Wait, What?""",Showtime
43,2016 (68th) [7],,,,,
44,2016 (68th) [7],Jeffrey Tambor,Maura Pfefferman,Transparent,"""Man on the Land""",Amazon
45,2016 (68th) [7],Anthony Anderson,Andre Johnson,Black-ish,"""Hope""",ABC
46,2016 (68th) [7],Aziz Ansari,Dev Shah,Master of None,"""Parents""",Netflix
47,2016 (68th) [7],Will Forte,Phil Miller,The Last Man on Earth,"""30 Years of Science Down the Tubes""",Fox
48,2016 (68th) [7],William H. Macy,Frank Gallagher,Shameless,"""I Only Miss Her When I'm Breathing""",Showtime
49,2016 (68th) [7],Thomas Middleditch,Richard Hendricks,Silicon Valley,"""The Empty Chair""",HBO
50,2017 (69th) [8],,,,,
51,2017 (69th) [8],Donald Glover,Earn Marks,Atlanta,"""The Big Bang""",FX
52,2017 (69th) [8],Anthony Anderson,Andre Johnson,Black-ish,"""Lemons""",ABC
53,2017 (69th) [8],Aziz Ansari,Dev Shah,Master of None,"""The Dinner Party""",Netflix
54,2017 (69th) [8],Zach Galifianakis,Chip and Dale Baskets,Baskets,"""Freaks""",FX
55,2017 (69th) [8],William H. Macy,Frank Gallagher,Shameless,"""You Sold Me the Laundromat, Remember?""",Showtime
56,2017 (69th) [8],Jeffrey Tambor,Maura Pfefferman,Transparent,"""Elizah""",Amazon
57,2018 (70th),,,,,
58,2018 (70th),Bill Hader,Barry Berkman / Barry Block,Barry,"""Chapter Seven: Loud, Fast, and Keep Going""",HBO
59,2018 (70th),Anthony Anderson,Andre Johnson,Black-ish,"""Advance to Go (Collect $200)""",ABC
60,2018 (70th),Ted Danson,Michael,The Good Place,"""Dance Dance Resolution""",NBC
61,2018 (70th),Larry David,Larry David,Curb Your Enthusiasm,"""Fatwa!""",HBO
62,2018 (70th),Donald Glover,Earn Marks,Atlanta,"""Teddy Perkins""",FX
63,2018 (70th),William H. Macy,Frank Gallagher,Shameless,"""Sleepwalking""",Showtime
64,2019 (71st),,,,,
65,2019 (71st),Bill Hader,Barry Berkman / Barry Block,Barry,"""The Truth Has a Ring to It""",HBO
66,2019 (71st),Anthony Anderson,Andre Johnson,Black-ish,"""Purple Rain""",ABC
67,2019 (71st),Don Cheadle,Maurice Monroe,Black Monday,"""365""",Showtime
68,2019 (71st),Ted Danson,Michael,The Good Place,"""The Worst Possible Use of Free Will""",NBC
69,2019 (71st),Michael Douglas,Sandy Kominsky,The Kominsky Method,"""Chapter One: An Actor Avoids""",Netflix
70,2019 (71st),Eugene Levy,Johnny Rose,Schitt's Creek,"""Rock On!""",Pop TV
0,2020 (72nd),,,,,
1,2020 (72nd),Eugene Levy,Johnny Rose,Schitt's Creek,"""The Pitch""",Pop TV
2,2020 (72nd),Anthony Anderson,Andre Johnson,Black-ish,"""Love, Boat""",ABC
3,2020 (72nd),Don Cheadle,Maurice Monroe,Black Monday,"""Who Are You Supposed to Be?""",Showtime
4,2020 (72nd),Ted Danson,Michael,The Good Place,"""Whenever You're Ready""",NBC
5,2020 (72nd),Michael Douglas,Sandy Kominsky,The Kominsky Method,"""Chapter 12: A Libido Sits in the Fridge""",Netflix
6,2020 (72nd),Ramy Youssef,Ramy Hassan,Ramy,"""You Are Naked in Front of Your Sheikh""",Hulu
7,2021 (73rd),,,,,
8,2021 (73rd),Jason Sudeikis,Ted Lasso,Ted Lasso,"""Pilot""",Apple TV+
9,2021 (73rd),Anthony Anderson,Andre Johnson,Black-ish,"""What About Gary?""",ABC
10,2021 (73rd),Michael Douglas,Sandy Kominsky,The Kominsky Method,"""Chapter 20. The round toes, of the high shoes""",Netflix
11,2021 (73rd),William H. Macy,Frank Gallagher,Shameless,"""Father Frank, Full of Grace""",Showtime
12,2021 (73rd),Kenan Thompson,Kenan Williams,Kenan,"""Flirting""",NBC
13,2022 (74th),,,,,
14,2022 (74th),Jason Sudeikis,Ted Lasso,Ted Lasso,"""No Weddings and a Funeral""",Apple TV+
15,2022 (74th),Donald Glover,Earn Marks,Atlanta,"""Sinterklaas is Coming to Town""",FX
16,2022 (74th),Bill Hader,Barry Berkman / Barry Block,Barry,"""starting now""",HBO
17,2022 (74th),Nicholas Hoult,Peter III / Yemelyan Pugachev,The Great,"""Wedding""",Hulu
18,2022 (74th),Steve Martin,Charles-Haden Savage,Only Murders in the Building,"""Open and Shut""",Hulu
19,2022 (74th),Martin Short,Oliver Putnam,Only Murders in the Building,"""How Well Do You Know Your Neighbors?""",Hulu
