,Year,Actor,Role,Program,Episode Submissions,Network
0,2010 (62nd) [2],,,,,
1,2010 (62nd) [2],Bryan Cranston,Walter White,Breaking Bad,"""Full Measure""",AMC
2,2010 (62nd) [2],Kyle Chandler,Eric Taylor,Friday Night Lights,"""East of Dillon""",DirecTV
3,2010 (62nd) [2],Matthew Fox,Jack Shephard,Lost,"""The End""",ABC
4,2010 (62nd) [2],Michael C. Hall,Dexter Morgan,Dexter,"""The Getaway""",Showtime
5,2010 (62nd) [2],Jon Hamm,Don Draper,Mad Men,"""The Gypsy and the Hobo""",AMC
6,2010 (62nd) [2],Hugh Laurie,Gregory House,House,"""Broken""",Fox
7,2011 (63rd) [3],,,,,
8,2011 (63rd) [3],Kyle Chandler,Eric Taylor,Friday Night Lights,"""Always""",DirecTV
9,2011 (63rd) [3],Steve Buscemi,Nucky Thompson,Boardwalk Empire,"""A Return to Normalcy""",HBO
10,2011 (63rd) [3],Michael C. Hall,Dexter Morgan,Dexter,"""Teenage Wasteland""",Showtime
11,2011 (63rd) [3],Jon Hamm,Don Draper,Mad Men,"""The Suitcase""",AMC
12,2011 (63rd) [3],Hugh Laurie,Gregory House,House,"""After Hours""",Fox
13,2011 (63rd) [3],Timothy Olyphant,Raylan Givens,Justified,"""Reckoning""",FX
14,2012 (64th) [4],,,,,
15,2012 (64th) [4],Damian Lewis,Nicholas Brody,Homeland,"""Marine One""",Showtime
16,2012 (64th) [4],Steve Buscemi,Nucky Thompson,Boardwalk Empire,"""Two Boats and a Lifeguard""",HBO
17,2012 (64th) [4],Hugh Bonneville,Robert Crawley,Downton Abbey,"""Episode Seven""",PBS
18,2012 (64th) [4],Bryan Cranston,Walter White,Breaking Bad,"""Crawl Space""",AMC
19,2012 (64th) [4],Michael C. Hall,Dexter Morgan,Dexter,"""Nebraska""",Showtime
20,2012 (64th) [4],Jon Hamm,Don Draper,Mad Men,"""The Other Woman""",AMC
21,2013 (65th) [5],,,,,
22,2013 (65th) [5],Jeff Daniels,Will McAvoy,The Newsroom,"""We Just Decided To""",HBO
23,2013 (65th) [5],Hugh Bonneville,Robert Crawley,Downton Abbey,"""Episode Five""",PBS
24,2013 (65th) [5],Bryan Cranston,Walter White,Breaking Bad,"""Say My Name""",AMC
25,2013 (65th) [5],Jon Hamm,Don Draper,Mad Men,"""In Care Of""",AMC
26,2013 (65th) [5],Damian Lewis,Nicholas Brody,Homeland,"""Q&A""",Showtime
27,2013 (65th) [5],Kevin Spacey,Frank Underwood,House of Cards,"""Chapter 1""",Netflix
28,2014 (66th) [6],,,,,
29,2014 (66th) [6],Bryan Cranston,Walter White,Breaking Bad,"""Ozymandias""",AMC
30,2014 (66th) [6],Woody Harrelson,Martin Hart,True Detective,"""The Locked Room""",HBO
31,2014 (66th) [6],Matthew McConaughey,Rust Cohle,True Detective,"""Form and Void""",HBO
32,2014 (66th) [6],Jeff Daniels,Will McAvoy,The Newsroom,"""Election Night, Part II""",HBO
33,2014 (66th) [6],Jon Hamm,Don Draper,Mad Men,"""The Strategy""",AMC
34,2014 (66th) [6],Kevin Spacey,Frank Underwood,House of Cards,"""Chapter 26""",Netflix
35,2015 (67th) [7],,,,,
36,2015 (67th) [7],Jon Hamm,Don Draper,Mad Men,"""Person to Person""",AMC
37,2015 (67th) [7],Kyle Chandler,John Rayburn,Bloodline,"""Part 12""",Netflix
38,2015 (67th) [7],Jeff Daniels,Will McAvoy,The Newsroom,"""What Kind of Day Has It Been""",HBO
39,2015 (67th) [7],Bob Odenkirk,Jimmy McGill,Better Call Saul,"""Pimento""",AMC
40,2015 (67th) [7],Liev Schreiber,Ray Donovan,Ray Donovan,"""Walk This Way""",Showtime
41,2015 (67th) [7],Kevin Spacey,Frank Underwood,House of Cards,"""Chapter 32""",Netflix
42,2016 (68th) [8],,,,,
43,2016 (68th) [8],Rami Malek,Elliot Alderson,Mr. Robot,"""eps1.0 hellofriend.mov""",USA
44,2016 (68th) [8],Kyle Chandler,John Rayburn,Bloodline,"""Part 23""",Netflix
45,2016 (68th) [8],Bob Odenkirk,Jimmy McGill,Better Call Saul,"""Klick""",AMC
46,2016 (68th) [8],Liev Schreiber,Ray Donovan,Ray Donovan,"""Exsuscito""",Showtime
47,2016 (68th) [8],Kevin Spacey,Frank Underwood,House of Cards,"""Chapter 52""",Netflix
48,2016 (68th) [8],Matthew Rhys,Philip Jennings,The Americans,"""The Magic of David Copperfield V: The Statue of Liberty Disappears""",FX
49,2017 (69th) [9],,,,,
50,2017 (69th) [9],Sterling K. Brown,Randall Pearson,This Is Us,"""Memphis""",NBC
51,2017 (69th) [9],Milo Ventimiglia,Jack Pearson,This Is Us,"""Moonshadow""",NBC
52,2017 (69th) [9],Anthony Hopkins,Dr. Robert Ford,Westworld,"""The Bicameral Mind""",HBO
53,2017 (69th) [9],Bob Odenkirk,Jimmy McGill,Better Call Saul,"""Expenses""",AMC
54,2017 (69th) [9],Matthew Rhys,Philip Jennings,The Americans,"""Crossbreed""",FX
55,2017 (69th) [9],Liev Schreiber,Ray Donovan,Ray Donovan,"""Rattus Rattus""",Showtime
56,2017 (69th) [9],Kevin Spacey,Frank Underwood,House of Cards,"""Chapter 53""",Netflix
57,2018 (70th) [10],,,,,
58,2018 (70th) [10],Matthew Rhys,Philip Jennings,The Americans,"""START""",FX
59,2018 (70th) [10],Ed Harris,The Man in Black / William,Westworld,"""Vanishing Point""",HBO
60,2018 (70th) [10],Jeffrey Wright,Bernard Lowe,Westworld,"""The Passenger""",HBO
61,2018 (70th) [10],Sterling K. Brown,Randall Pearson,This Is Us,"""Number Three""",NBC
62,2018 (70th) [10],Milo Ventimiglia,Jack Pearson,This Is Us,"""The Car""",NBC
63,2018 (70th) [10],Jason Bateman,"Martin ""Marty"" Byrde",Ozark,"""The Toll""",Netflix
64,2019 (71st),,,,,
65,2019 (71st),Billy Porter,Pray Tell,Pose,"""Love Is the Message""",FX
66,2019 (71st),Sterling K. Brown,Randall Pearson,This Is Us,"""R & B""",NBC
67,2019 (71st),Milo Ventimiglia,Jack Pearson,This Is Us,"""Sometimes""",NBC
68,2019 (71st),Kit Harington,Jon Snow,Game of Thrones,"""The Iron Throne""",HBO
69,2019 (71st),Bob Odenkirk,Jimmy McGill,Better Call Saul,"""Winner""",AMC
70,2019 (71st),Jason Bateman,"Martin ""Marty"" Byrde",Ozark,"""Reparations""",Netflix
0,2020 (72nd) [11],,,,,
1,2020 (72nd) [11],Jeremy Strong,Kendall Roy,Succession,"""This Is Not for Tears""",HBO
2,2020 (72nd) [11],Jason Bateman,Marty Byrde,Ozark,"""Su Casa Es Mi Casa""",Netflix
3,2020 (72nd) [11],Sterling K. Brown,Randall Pearson,This Is Us,"""After the Fire""",NBC
4,2020 (72nd) [11],Steve Carell,Mitch Kessler,The Morning Show,"""Lonely at the Top""",Apple TV+
5,2020 (72nd) [11],Brian Cox,Logan Roy,Succession,"""Hunting""",HBO
6,2020 (72nd) [11],Billy Porter,Pray Tell,Pose,"""Love's in Need of Love Today""",FX
7,2021 (73rd) [12],,,,,
8,2021 (73rd) [12],Josh O'Connor,"Charles, Prince of Wales",The Crown,"""Terra Nullius""",Netflix
9,2021 (73rd) [12],Sterling K. Brown,Randall Pearson,This Is Us,"""Forty: Part 2""",NBC
10,2021 (73rd) [12],Jonathan Majors,Atticus Freeman,Lovecraft Country,"""Sundown""",HBO
11,2021 (73rd) [12],Matthew Rhys,Perry Mason,Perry Mason,"""Chapter 8""",HBO
12,2021 (73rd) [12],Regé-Jean Page,Simon Bassett,Bridgerton,"""Art of the Swoon""",Netflix
13,2021 (73rd) [12],Billy Porter,Pray Tell,Pose,"""Take Me To Church""",FX
14,2022 (74th) [13],,,,,
15,2022 (74th) [13],Lee Jung-jae,Seong Gi-hun,Squid Game,"""Gganbu""",Netflix
16,2022 (74th) [13],Jason Bateman,Marty Byrde,Ozark,"""Pound of Flesh and Still Kickin’""",Netflix
17,2022 (74th) [13],Brian Cox,Logan Roy,Succession,"""All the Bells Say""",HBO
18,2022 (74th) [13],Bob Odenkirk,Jimmy McGill / Saul Goodman,Better Call Saul,"""Plan and Execution""",AMC
19,2022 (74th) [13],Adam Scott,Mark Scout,Severance,"""Good News About Hell""",Apple TV+
20,2022 (74th) [13],Jeremy Strong,Kendall Roy,Succession,"""Too Much Birthday""",HBO
