,Year,Actress,Role,Program,Episode Submissions,Network
0,2010 (62nd) [11],,,,,
1,2010 (62nd) [11],Edie Falco,Jackie Peyton,Nurse Jackie,"""Pilot""",Showtime
2,2010 (62nd) [11],Tina Fey,Liz Lemon,30 Rock,"""Dealbreakers Talk Show#0001""",NBC
3,2010 (62nd) [11],Amy Poehler,Leslie Knope,Parks and Recreation,"""Telethon""",NBC
4,2010 (62nd) [11],Toni Collette,Tara Gregson,United States of Tara,"""Torando!""",Showtime
5,2010 (62nd) [11],Julia Louis-Dreyfus,Christine Campbell,The New Adventures of Old Christine,"""I Love What You Do for Me""",CBS
6,2010 (62nd) [11],Lea Michele,Rachel Berry,Glee,"""Sectionals""",Fox
7,2011 (63rd) [12],,,,,
8,2011 (63rd) [12],Melissa McCarthy,Molly Flynn,Mike & Molly,"""First Date""",CBS
9,2011 (63rd) [12],Edie Falco,Jackie Peyton,Nurse Jackie,"""Rat Falls""",Showtime
10,2011 (63rd) [12],Tina Fey,Liz Lemon,30 Rock,"""Double-Edged Sword""",NBC
11,2011 (63rd) [12],Laura Linney,Cathy Jamison,The Big C,"""Pilot""",Showtime
12,2011 (63rd) [12],Martha Plimpton,Virginia Chance,Raising Hope,"""Say Cheese""",Fox
13,2011 (63rd) [12],Amy Poehler,Leslie Knope,Parks and Recreation,"""Flu Season""",NBC
14,2012 (64th) [13],,,,,
15,2012 (64th) [13],Julia Louis-Dreyfus,Selina Meyer,Veep,"""Tears""",HBO
16,2012 (64th) [13],Zooey Deschanel,Jessica Day,New Girl,"""Bad in Bed""",Fox
17,2012 (64th) [13],Lena Dunham,Hannah Horvath,Girls,"""She Did""",HBO
18,2012 (64th) [13],Edie Falco,Jackie Peyton,Nurse Jackie,"""Disneyland Sucks""",Showtime
19,2012 (64th) [13],Tina Fey,Liz Lemon,30 Rock,"""The Tuxedo Begins""",NBC
20,2012 (64th) [13],Melissa McCarthy,Molly Flynn,Mike & Molly,"""The Dress""",CBS
21,2012 (64th) [13],Amy Poehler,Leslie Knope,Parks and Recreation,"""Win, Lose, or Draw""",NBC
22,2013 (65th) [14],,,,,
23,2013 (65th) [14],Julia Louis-Dreyfus,Selina Meyer,Veep,"""Running""",HBO
24,2013 (65th) [14],Laura Dern,Amy Jellicoe,Enlightened,"""All I Ever Wanted""",HBO
25,2013 (65th) [14],Lena Dunham,Hannah Horvath,Girls,"""Bad Friend""",HBO
26,2013 (65th) [14],Edie Falco,Jackie Peyton,Nurse Jackie,"""Luck of the Drawing""",Showtime
27,2013 (65th) [14],Tina Fey,Liz Lemon,30 Rock,"""Hogcock!"" + ""Last Lunch""",NBC
28,2013 (65th) [14],Amy Poehler,Leslie Knope,Parks and Recreation,"""Emergency Response"" + ""Leslie and Ben""",NBC
29,2014 (66th) [15],,,,,
30,2014 (66th) [15],Julia Louis-Dreyfus,Selina Meyer,Veep,"""Crate""",HBO
31,2014 (66th) [15],Lena Dunham,Hannah Horvath,Girls,"""Beach House""",HBO
32,2014 (66th) [15],Edie Falco,Jackie Peyton,Nurse Jackie,"""Super Greens""",Showtime
33,2014 (66th) [15],Melissa McCarthy,Molly Flynn,Mike & Molly,"""Mind Over Molly""",CBS
34,2014 (66th) [15],Amy Poehler,Leslie Knope,Parks and Recreation,"""Recall Vote""",NBC
35,2014 (66th) [15],Taylor Schilling,Piper Chapman,Orange Is the New Black,"""The Chickening""",Netflix
36,2015 (67th) [16],,,,,
37,2015 (67th) [16],Julia Louis-Dreyfus,Selina Meyer,Veep,"""Election Night""",HBO
38,2015 (67th) [16],Edie Falco,Jackie Peyton,Nurse Jackie,"""I Say a Little Prayer""",Showtime
39,2015 (67th) [16],Lisa Kudrow,Valerie Cherish,The Comeback,"""Valerie Is Taken Seriously""",HBO
40,2015 (67th) [16],Amy Poehler,Leslie Knope,Parks and Recreation,"""One Last Ride""",NBC
41,2015 (67th) [16],Amy Schumer,Various characters,Inside Amy Schumer,"""Cool With It""",Comedy Central
42,2015 (67th) [16],Lily Tomlin,Frankie Bergstein,Grace and Frankie,"""The Vows""",Netflix
43,2016 (68th) [17],,,,,
44,2016 (68th) [17],Julia Louis-Dreyfus,Selina Meyer,Veep,"""Mother""",HBO
