,Year,Actress,Role,Program,Episode Submission,Network
0,2010 (62nd) [56],Kyra Sedgwick,Brenda Leigh Johnson,The Closer,"""Maternal Instincts""",TNT
1,2010 (62nd) [56],Connie Britton,Tami Taylor,Friday Night Lights,"""After the Fall""",DirecTV
2,2010 (62nd) [56],Glenn Close,Patty Hewes,Damages,"""Your Secrets Are Safe""",FX
3,2010 (62nd) [56],Mariska Hargitay,Olivia Benson,Law & Order: Special Victims Unit,"""Perverted""",NBC
4,2010 (62nd) [56],January Jones,Betty Draper,Mad Men,"""The Gypsy and the Hobo""",AMC
5,2010 (62nd) [56],Julianna Margulies,Alicia Florrick,The Good Wife,"""Threesome""",CBS
6,2011 (63rd) [57],Julianna Margulies,Alicia Florrick,The Good Wife,"""In Sickness""",CBS
7,2011 (63rd) [57],Kathy Bates,Harriet Korn,Harry's Law,"""Innocent Man""",NBC
8,2011 (63rd) [57],Connie Britton,Tami Taylor,Friday Night Lights,"""Always""",DirecTV
9,2011 (63rd) [57],Mireille Enos,Sarah Linden,The Killing,"""Missing""",AMC
10,2011 (63rd) [57],Mariska Hargitay,Olivia Benson,Law & Order: Special Victims Unit,"""Rescue""",NBC
11,2011 (63rd) [57],Elisabeth Moss,Peggy Olson,Mad Men,"""The Suitcase""",AMC
12,2012 (64th) [58],Claire Danes,Carrie Mathison,Homeland,"""The Vest""",Showtime
13,2012 (64th) [58],Kathy Bates,Harriet Korn,Harry's Law,"""Onward and Upward""",NBC
14,2012 (64th) [58],Glenn Close,Patty Hewes,Damages,"""I've Done Way Too Much for This Girl""",DirecTV
15,2012 (64th) [58],Michelle Dockery,Lady Mary Crawley,Downton Abbey,"""Episode Seven""",PBS
16,2012 (64th) [58],Julianna Margulies,Alicia Florrick,The Good Wife,"""Parenting Made Easy""",CBS
17,2012 (64th) [58],Elisabeth Moss,Peggy Olson,Mad Men,"""The Other Woman""",AMC
18,2013 (65th) [59],Claire Danes,Carrie Mathison,Homeland,"""Q&A""",Showtime
19,2013 (65th) [59],Connie Britton,Rayna Jaymes,Nashville,"""Pilot""",ABC
20,2013 (65th) [59],Michelle Dockery,Lady Mary Crawley,Downton Abbey,"""Episode One""",PBS
21,2013 (65th) [59],Vera Farmiga,Norma Bates,Bates Motel,"""First You Dream, Then You Die""",A&E
22,2013 (65th) [59],Elisabeth Moss,Peggy Olson,Mad Men,"""The Better Half""",AMC
23,2013 (65th) [59],Kerry Washington,Olivia Pope,Scandal,"""Happy Birthday, Mr. President""",ABC
24,2013 (65th) [59],Robin Wright,Claire Underwood,House of Cards,"""Chapter 10""",Netflix
25,2014 (66th) [60],Julianna Margulies,Alicia Florrick,The Good Wife,"""The Last Call""",CBS
26,2014 (66th) [60],Lizzy Caplan,Virginia E. Johnson,Masters of Sex,"""Pilot""",Showtime
27,2014 (66th) [60],Claire Danes,Carrie Mathison,Homeland,"""The Star""",Showtime
28,2014 (66th) [60],Michelle Dockery,Lady Mary Crawley,Downton Abbey,"""Episode One""",PBS
29,2014 (66th) [60],Kerry Washington,Olivia Pope,Scandal,"""The Fluffer""",ABC
30,2014 (66th) [60],Robin Wright,Claire Underwood,House of Cards,"""Chapter 26""",Netflix
