,Year,Actor,Role,Program,Episode Submissions,Network
0,2010 (62nd)  [1],,,,,
1,2010 (62nd)  [1],Aaron Paul,Jesse Pinkman,Breaking Bad,"""Half Measures""",AMC
2,2010 (62nd)  [1],Michael Emerson,Ben Linus,Lost,"""Dr. Linus""",ABC
3,2010 (62nd)  [1],Terry O'Quinn,John Locke,Lost,"""The Substitute""",ABC
4,2010 (62nd)  [1],Andre Braugher,"Owen Thoreau, Jr.",Men of a Certain Age,"""Powerless""",TNT
5,2010 (62nd)  [1],Martin Short,Leonard Winstone,Damages,"""You Haven't Replaced Me""",FX
6,2010 (62nd)  [1],John Slattery,Roger Sterling,Mad Men,"""The Gypsy and the Hobo""",AMC
7,2011 (63rd)  [2],,,,,
8,2011 (63rd)  [2],Peter Dinklage,Tyrion Lannister,Game of Thrones,"""Baelor""",HBO
9,2011 (63rd)  [2],Josh Charles,Will Gardner,The Good Wife,"""Closing Arguments""",CBS
10,2011 (63rd)  [2],Alan Cumming,Eli Gold,The Good Wife,"""Silver Bullet""",CBS
11,2011 (63rd)  [2],Andre Braugher,"Owen Thoreau, Jr.",Men of a Certain Age,"""Let the Sunshine In""",TNT
12,2011 (63rd)  [2],Walton Goggins,Boyd Crowder,Justified,"""The I of the Storm""",FX
13,2011 (63rd)  [2],John Slattery,Roger Sterling,Mad Men,"""Hands and Knees""",AMC
14,2012 (64th)  [3],,,,,
15,2012 (64th)  [3],Aaron Paul,Jesse Pinkman,Breaking Bad,"""End Times""",AMC
16,2012 (64th)  [3],Giancarlo Esposito,Gus Fring,Breaking Bad,"""Hermanos""",AMC
17,2012 (64th)  [3],Jim Carter,Charles Carson,Downton Abbey,"""Episode 202""",PBS
18,2012 (64th)  [3],Brendan Coyle,John Bates,Downton Abbey,"""Episode 207""",PBS
19,2012 (64th)  [3],Peter Dinklage,Tyrion Lannister,Game of Thrones,"""Blackwater""",HBO
20,2012 (64th)  [3],Jared Harris,Lane Pryce,Mad Men,"""Commissions and Fees""",AMC
21,2013 (65th)  [4],,,,,
22,2013 (65th)  [4],Bobby Cannavale,Gyp Rosetti,Boardwalk Empire,"""Sunday Best""",HBO
23,2013 (65th)  [4],Jonathan Banks,Mike Ehrmantraut,Breaking Bad,"""Say My Name""",AMC
24,2013 (65th)  [4],Aaron Paul,Jesse Pinkman,Breaking Bad,"""Buyout""",AMC
25,2013 (65th)  [4],Jim Carter,Charles Carson,Downton Abbey,"""Episode 306""",PBS
26,2013 (65th)  [4],Peter Dinklage,Tyrion Lannister,Game of Thrones,"""Second Sons""",HBO
27,2013 (65th)  [4],Mandy Patinkin,Saul Berenson,Homeland,"""The Choice""",Showtime
28,2014 (66th)  [5],,,,,
29,2014 (66th)  [5],Aaron Paul,Jesse Pinkman,Breaking Bad,"""Confessions""",AMC
30,2014 (66th)  [5],Jim Carter,Charles Carson,Downton Abbey,"""Episode 401""",PBS
31,2014 (66th)  [5],Josh Charles,Will Gardner,The Good Wife,"""Hitting the Fan""",CBS
32,2014 (66th)  [5],Peter Dinklage,Tyrion Lannister,Game of Thrones,"""The Laws of Gods and Men""",HBO
33,2014 (66th)  [5],Mandy Patinkin,Saul Berenson,Homeland,"""Gerontion""",Showtime
34,2014 (66th)  [5],Jon Voight,Mickey Donovan,Ray Donovan,"""Fite Nite""",Showtime
35,2015 (67th)  [6],,,,,
36,2015 (67th)  [6],Peter Dinklage,Tyrion Lannister,Game of Thrones,"""Hardhome""",HBO
37,2015 (67th)  [6],Jonathan Banks,Mike Ehrmantraut,Better Call Saul,"""Five-O""",AMC
38,2015 (67th)  [6],Jim Carter,Charles Carson,Downton Abbey,"""A Moorland Holiday""",PBS
39,2015 (67th)  [6],Alan Cumming,Eli Gold,The Good Wife,"""Undisclosed Recipients""",CBS
40,2015 (67th)  [6],Michael Kelly,Doug Stamper,House of Cards,"""Chapter 27""",Netflix
41,2015 (67th)  [6],Ben Mendelsohn,Danny Rayburn,Bloodline,"""Part 12""",Netflix
42,2016 (68th) [7],,,,,
43,2016 (68th) [7],Ben Mendelsohn,Danny Rayburn,Bloodline,"""Part 23""",Netflix
44,2016 (68th) [7],Peter Dinklage,Tyrion Lannister,Game of Thrones,"""No One""",HBO
45,2016 (68th) [7],Kit Harington,Jon Snow,Game of Thrones,"""Battle of the Bastards""",HBO
46,2016 (68th) [7],Jonathan Banks,Mike Ehrmantraut,Better Call Saul,"""Bali Ha'i""",AMC
47,2016 (68th) [7],Michael Kelly,Doug Stamper,House of Cards,"""Chapter 44""",Netflix
48,2016 (68th) [7],Jon Voight,Mickey Donovan,Ray Donovan,"""The Kalamazoo""",Showtime
49,2017 (69th) [8],,,,,
50,2017 (69th) [8],John Lithgow,Winston Churchill,The Crown,"""Assassins""",Netflix
51,2017 (69th) [8],David Harbour,Jim Hopper,Stranger Things,"""Chapter Eight: The Upside Down""",Netflix
52,2017 (69th) [8],Jonathan Banks,Mike Ehrmantraut,Better Call Saul,"""Witness""",AMC
53,2017 (69th) [8],Ron Cephas Jones,William H. Hill,This Is Us,"""Memphis""",NBC
