,Year,Actress,Role,Program,Episode Submissions,Network
0,2010 (62nd) [1],,,,,
1,2010 (62nd) [1],Jane Lynch,Sue Sylvester,Glee,"""The Power of Madonna""",Fox
2,2010 (62nd) [1],Julie Bowen,Claire Dunphy,Modern Family,"""My Funky Valentine""",ABC
3,2010 (62nd) [1],Jane Krakowski,Jenna Maroney,30 Rock,"""Black Light Attack!""",NBC
4,2010 (62nd) [1],Sofía Vergara,Gloria Pritchett,Modern Family,"""Not in My House""",ABC
5,2010 (62nd) [1],Holland Taylor,Evelyn Harper,Two and a Half Men,"""Give Me Your Thumb""",CBS
6,2010 (62nd) [1],Kristen Wiig,Various characters,Saturday Night Live,"""Host: James Franco""",NBC
7,2011 (63rd) [2],,,,,
8,2011 (63rd) [2],Julie Bowen,Claire Dunphy,Modern Family,"""Strangers on a Treadmill""",ABC
9,2011 (63rd) [2],Jane Krakowski,Jenna Maroney,30 Rock,"""Queen of Jordan""",NBC
10,2011 (63rd) [2],Jane Lynch,Sue Sylvester,Glee,"""Funeral""",Fox
11,2011 (63rd) [2],Sofía Vergara,Gloria Pritchett,Modern Family,"""Slow Down Your Neighbors""",ABC
12,2011 (63rd) [2],Betty White,Elka Ostrovsky,Hot in Cleveland,"""Free Elka""",TV Land
13,2011 (63rd) [2],Kristen Wiig,Various characters,Saturday Night Live,"""Host: Jane Lynch""",NBC
14,2012 (64th) [3],,,,,
15,2012 (64th) [3],Julie Bowen,Claire Dunphy,Modern Family,"""Go Bullfrogs!""",ABC
16,2012 (64th) [3],Mayim Bialik,Amy Farrah Fowler,The Big Bang Theory,"""The Shiny Trinket Maneuver""",CBS
17,2012 (64th) [3],Kathryn Joosten[4],Karen McCluskey,Desperate Housewives,"""Give Me the Blame"" + ""Finishing the Hat""",ABC
18,2012 (64th) [3],Sofía Vergara,Gloria Pritchett,Modern Family,"""Tableau Vivant""",ABC
19,2012 (64th) [3],Merritt Wever,Zoey Barkow,Nurse Jackie,"""One-Armed Jacks""",Showtime
20,2012 (64th) [3],Kristen Wiig,Various characters,Saturday Night Live,"""Host: Mick Jagger""",NBC
21,2013 (65th) [5],,,,,
22,2013 (65th) [5],Merritt Wever,Zoey Barkow,Nurse Jackie,"""Teachable Moments""",Showtime
23,2013 (65th) [5],Mayim Bialik,Amy Farrah Fowler,The Big Bang Theory,"""The Fish Guts Displacement""",CBS
24,2013 (65th) [5],Julie Bowen,Claire Dunphy,Modern Family,"""My Hero""",ABC
25,2013 (65th) [5],Anna Chlumsky,Amy Brookheimer,Veep,"""First Response""",HBO
26,2013 (65th) [5],Jane Krakowski,Jenna Maroney,30 Rock,"""Hogcock!"" + ""Last Lunch""",NBC
27,2013 (65th) [5],Jane Lynch,Sue Sylvester,Glee,"""Feud""",Fox
28,2013 (65th) [5],Sofía Vergara,Gloria Delgado-Pritchett,Modern Family,"""Yard Sale""",ABC
29,2014 (66th) [6],,,,,
30,2014 (66th) [6],Allison Janney,Bonnie Plunkett,Mom,"""Estrogen and a Hearty Breakfast""",CBS
31,2014 (66th) [6],Mayim Bialik,Amy Farrah Fowler,The Big Bang Theory,"""The Indecision Amalgamation""",CBS
32,2014 (66th) [6],Julie Bowen,Claire Dunphy,Modern Family,"""The Feud""",ABC
33,2014 (66th) [6],Anna Chlumsky,Amy Brookheimer,Veep,"""Detroit""",HBO
34,2014 (66th) [6],Kate McKinnon,Various characters,Saturday Night Live,"""Host: Anna Kendrick""",NBC
35,2014 (66th) [6],Kate Mulgrew,"Galina ""Red"" Reznikov",Orange Is the New Black,"""Tit Punch""",Netflix
36,2015 (67th) [7],,,,,
37,2015 (67th) [7],Allison Janney,Bonnie Plunkett,Mom,"""Dropped Soap and a Big Guy on a Throne""",CBS
38,2015 (67th) [7],Mayim Bialik,Amy Farrah Fowler,The Big Bang Theory,"""The Prom Equivalency""",CBS
39,2015 (67th) [7],Julie Bowen,Claire Dunphy,Modern Family,"""Valentine's Day 4: Twisted Sister""",ABC
40,2015 (67th) [7],Anna Chlumsky,Amy Brookheimer,Veep,"""Convention""",HBO
41,2015 (67th) [7],Gaby Hoffmann,Ali Pfefferman,Transparent,"""Rollin'""",Amazon
