,Year,Program,Producers,Network
0,2010 (62nd) [57],,,
1,2010 (62nd) [57],Modern Family (Season 1),"Steven Levitan and Christopher Lloyd, executive producers; Jason Winer, Danny Zuker, Dan O'Shannon, Bill Wrubel, Paul Corrigan and Brad Walsh, co-executive producers; Jeff Morton, producer",ABC
2,2010 (62nd) [57],Curb Your Enthusiasm (Season 7),"Larry David, Jeff Garlin, Gavin Polone, Alec Berg, David Mandel, Jeff Schaffer, Tim Gibbons and Erin O'Malley, executive producers",HBO
3,2010 (62nd) [57],Glee (Season 1),"Ryan Murphy, Brad Falchuk and Dante Di Loreto, executive producers; Ian Brennan, co-executive producer; Bradley Buecker, supervising producer; Alexis Martin Woodall, producer; Kenneth Silverstein, produced by",Fox
4,2010 (62nd) [57],Nurse Jackie (Seasons 1–2),"Linda Wallem, Liz Brixius, John Melfi, Caryn Mandabach, Richie Jackson, Christine Zander and Mark Hudis, executive producers; Rick Cleveland, co-executive producer; Bari Halle, produced by",Showtime
5,2010 (62nd) [57],The Office (Season 6),"Greg Daniels, Ben Silverman, Ricky Gervais, Stephen Merchant, Howard Klein and Paul Lieberstein, executive producers; Mindy Kaling, Lee Eisenberg, B. J. Novak, Aaron Shure and Teri Weinberg, co-executive producers; Daniel Chun, supervising producer; Steve Carell, Justin Spitzer, Charlie Grandy, Warren Lieberstein and Halsted Sullivan, producers; Randy Cordray, produced by",NBC
6,2010 (62nd) [57],30 Rock (Season 4),"Lorne Michaels, Tina Fey, Marci Klein, David Miner and Robert Carlock, executive producers; John Riggi and Ron Weiner, co-executive producers",NBC
7,2011 (63rd) [58],,,
8,2011 (63rd) [58],Modern Family (Season 2),"Steven Levitan and Christopher Lloyd, executive producers; Jeff Morton, Danny Zuker, Dan O'Shannon, Bill Wrubel, Paul Corrigan, Brad Walsh, Ilana Wernick, Jeffrey Richman and Abraham Higginbotham, co-executive producers",ABC
9,2011 (63rd) [58],The Big Bang Theory (Season 4),"Chuck Lorre, Bill Prady, Steven Molaro and Lee Aronsohn, executive producers; Dave Goetsch and Eric Kaplan, co-executive producers; Jim Reynolds and Peter Chakos, supervising producers; Steve Holland, producer; Faye Oshima Belyeu, produced by",CBS
10,2011 (63rd) [58],Glee (Season 2),"Ryan Murphy, Brad Falchuk, Dante Di Loreto and Ian Brennan, executive producers; Bradley Buecker, supervising producer; Alexis Martin Woodall, Kenneth Silverstein and Michael Novick, producers",Fox
11,2011 (63rd) [58],The Office (Season 7),"Ben Silverman, Greg Daniels, Ricky Gervais, Stephen Merchant, Howard Klein and Paul Lieberstein, executive producers; B. J. Novak, executive producer/co-executive producer; Teri Weinberg, Mindy Kaling, Aaron Shure, Daniel Chun and Peter Ocko, co-executive producers; Justin Spitzer and Charlie Grandy, supervising producers; Steve Carell, Warren Lieberstein, Halsted Sullivan and Steve Hely, producers; Randy Cordray, produced by",NBC
12,2011 (63rd) [58],Parks and Recreation (Season 3),"Greg Daniels, Michael Schur, Howard Klein and David Miner, executive producers; Dan Goor, supervising producer; Amy Poehler and Emily Spivey, producers; Morgan Sackett, produced by",NBC
13,2011 (63rd) [58],30 Rock (Season 5),"Lorne Michaels, Tina Fey, Robert Carlock, Marci Klein, David Miner, Jeff Richmond and John Riggi, executive producers; Ron Weiner, Jack Burditt and Matt Hubbard, co-executive producers; Alec Baldwin, Kay Cannon, Vali Chandrasekaran, Don Scardino, Josh Siegal, Dylan Morgan and Irene Burns, producers; Jerry Kupfer, produced by",NBC
14,2012 (64th) [59],,,
15,2012 (64th) [59],Modern Family (Season 3),"Steven Levitan, Christopher Lloyd, Danny Zuker, Dan O'Shannon, Bill Wrubel, Paul Corrigan and Brad Walsh, executive producers; Jeff Morton, Jeffrey Richman, Abraham Higginbotham and Cindy Chupack, co-executive producers; Chris Smirnoff, producer",ABC
16,2012 (64th) [59],The Big Bang Theory (Season 5),"Chuck Lorre, Bill Prady and Steven Molaro, executive producers; Dave Goetsch, Eric Kaplan and Jim Reynolds, co-executive producers; Steve Holland and Peter Chakos, supervising producers; Maria Ferrari, producer; Faye Oshima Belyeu, produced by",CBS
17,2012 (64th) [59],Curb Your Enthusiasm (Season 8),"Larry David, Jeff Garlin, Gavin Polone, Alec Berg, David Mandel, Jeff Schaffer, Larry Charles, Tim Gibbons and Erin O'Malley, executive producers; Laura Streicher, producer",HBO
18,2012 (64th) [59],Girls (Season 1),"Lena Dunham, Judd Apatow and Jenni Konner, executive producers; Ilene S. Landress and Bruce Eric Kaplan, co-executive producers",HBO
19,2012 (64th) [59],30 Rock (Season 6),"Lorne Michaels, Tina Fey, Robert Carlock, Marci Klein, David Miner, Jeff Richmond and John Riggi, executive producers; Ron Weiner and Matt Hubbard, co-executive producers; Kay Cannon, Vali Chandrasekaran, Josh Siegal, Dylan Morgan and Luke Del Tredici, supervising producers; Jerry Kupfer, Alec Baldwin and Irene Burns, producers",NBC
20,2012 (64th) [59],Veep (Season 1),"Armando Iannucci, Christopher Godsick and Frank Rich, executive producers; Simon Blackwell and Tony Roche, co-executive producers; Julia Louis-Dreyfus, producer; Stephanie Laing, produced by",HBO
21,2013 (65th) [60],,,
22,2013 (65th) [60],Modern Family (Season 4),"Steven Levitan, Christopher Lloyd, Danny Zuker, Dan O'Shannon, Bill Wrubel, Paul Corrigan, Brad Walsh, Jeffrey Richman, Abraham Higginbotham and Jeff Morton, executive producers; Ben Karlin, co-executive producer; Elaine Ko and Chris Smirnoff, producers",ABC
23,2013 (65th) [60],The Big Bang Theory (Season 6),"Chuck Lorre, Steven Molaro and Bill Prady, executive producers; Dave Goetsch, Eric Kaplan, Jim Reynolds, Steve Holland, Eddie Gorodetsky and Faye Oshima Belyeu, co-executive producers; Peter Chakos and Maria Ferrari, supervising producers",CBS
24,2013 (65th) [60],Girls (Season 2),"Lena Dunham, Judd Apatow and Jenni Konner, executive producers; Ilene S. Landress and Bruce Eric Kaplan, co-executive producers",HBO
25,2013 (65th) [60],Louie (Season 3),"Louis C.K., M. Blair Breard and Dave Becky, executive producers; Tony Hernandez, supervising producer; Vernon Chatman, producer",FX
26,2013 (65th) [60],30 Rock (Season 7),"Tina Fey, Robert Carlock, Marci Klein, David Miner, Jeff Richmond, Jack Burditt and Lorne Michaels, executive producers; Matt Hubbard, Josh Siegal, Dylan Morgan and Luke Del Tredici, co-executive producers; Alec Baldwin, Colleen McGuinness, Tracey Wigfield and Jerry Kupfer, producers",NBC
27,2013 (65th) [60],Veep (Season 2),"Armando Iannucci, Christopher Godsick and Frank Rich, executive producers; Simon Blackwell and Tony Roche, co-executive producers; Julia Louis-Dreyfus and Stephanie Laing, producers",HBO
28,2014 (66th) [61],,,
29,2014 (66th) [61],Modern Family (Season 5),"Steven Levitan, Christopher Lloyd, Dan O'Shannon, Paul Corrigan, Brad Walsh, Bill Wrubel, Danny Zuker, Jeffrey Richman, Abraham Higginbotham and Jeff Morton, executive producers; Ben Karlin, co-executive producer; Elaine Ko and Megan Ganz, supervising producers; Chris Smirnoff and Sally Young, producers",ABC
30,2014 (66th) [61],The Big Bang Theory (Season 7),"Chuck Lorre, Steven Molaro and Bill Prady, executive producers; Dave Goetsch, Eric Kaplan, Jim Reynolds, Steve Holland, Maria Ferrari and Faye Oshima Belyeu, co-executive producers; Peter Chakos, supervising producer; Kristy Cecil, producer",CBS
31,2014 (66th) [61],Louie (Season 4),"Louis C.K., M. Blair Breard and Dave Becky, executive producers; Adam Escott, supervising producer; Pamela Adlon and Vernon Chatman, producers; Steven Wright, consulting producer",FX
32,2014 (66th) [61],Orange Is the New Black (Season 1),"Jenji Kohan, executive producer; Sara Hess, Michael Trim and Lisa I. Vinnecour, co-executive producers; Gary Lennon, supervising producer; Neri Kyle Tannenbaum, produced by; Mark A. Burley, consulting producer",Netflix
33,2014 (66th) [61],Silicon Valley (Season 1),"Mike Judge, Alec Berg, John Altschuler, Dave Krinsky, Michael Rotenberg and Tom Lassally, executive producers; Jim Kleverweis, produced by",HBO
34,2014 (66th) [61],Veep (Season 3),"Armando Iannucci, Christopher Godsick and Frank Rich, executive producers; Simon Blackwell and Tony Roche, co-executive producers; Chris Addison, Roger Drew, Sean Gray, Ian Martin and Will Smith, supervising producers; Julia Louis-Dreyfus, producer; Stephanie Laing, produced by",HBO
35,2015 (67th) [62],,,
36,2015 (67th) [62],Veep (Season 4),"Armando Iannucci, Christopher Godsick, Frank Rich, Chris Addison, Simon Blackwell, Tony Roche, Julia Louis-Dreyfus and Stephanie Laing, executive producers; Kevin Cecil, Roger Drew, Sean Gray, Ian Martin, Georgia Pritchett, David Quantick, Andy Riley and Will Smith, supervising producers; Bill Hill, produced by",HBO
37,2015 (67th) [62],Louie (Season 5),"Louis C.K., M. Blair Breard and Dave Becky, executive producers; Adam Escott, supervising producer; Pamela Adlon, Vernon Chatman and Steven Wright, producers; John Skidmore, produced by",FX
38,2015 (67th) [62],Modern Family (Season 6),"Christopher Lloyd, Steven Levitan, Paul Corrigan, Brad Walsh, Danny Zuker, Abraham Higginbotham, Jeffrey Richman and Jeff Morton, executive producers; Elaine Ko, Megan Ganz, Vali Chandrasekaran, Stephen Lloyd, Rick Wiener, Kenny Schwartz and Chuck Tatham, co-executive producers; Chris Smirnoff and Sally Young, producers",ABC
39,2015 (67th) [62],Parks and Recreation (Season 7),"Greg Daniels, Michael Schur, Howard Klein, David Miner, Morgan Sackett and Dean Holland, executive producers; Alan Yang, Harris Wittels, Donick Cary, Matt Murray and Aisha Muharrar, co-executive producers; Dave King, David Hyman and Amy Poehler, producers",NBC
40,2015 (67th) [62],Silicon Valley (Season 2),"Mike Judge, Alec Berg, John Altschuler, Dave Krinsky, Michael Rotenberg and Tom Lassally, executive producers; Dan O'Keefe and Clay Tarver, co-executive producers; Sonny Lee and Ron Weiner, supervising producers; Carrie Kemper, producer; Jim Kleverweis, produced by",HBO
41,2015 (67th) [62],Transparent (Season 1),"Joey Soloway (as Jill Soloway), executive producer; Andrea Sperling, co-executive producer; Bridget Bedard, supervising producer; Victor Hsu, produced by; Rick Rosenthal and Nisha Ganatra, consulting producers",Amazon
